legacyRecordId,legacyHotelName,legacyCity,legacyCountry,targetBrand,legacyStatus,enrichmentAction,enrichmentReason,choicePropertyUrl,hasLegacyCoordinates
recMX7xtaElXbVUVP,Clarion Suites Guatemala City,Guatemala City,Guatemala,Clarion,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/guatemala/guatemala-city/clarion-hotels/gt001,yes
recQ33UuRCjytmL54,Radisson Blu Sao Paulo,Sao Paulo,Brazil,Radisson Blu by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recQVxeHdrKdQlQNF,Radisson Grenada Beach Resort,St George's,Grenada,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recQcydlpW55d7TKb,Radisson Puebla Angelopolis,Puebla,Mexico,Radisson by Choice,Pipeline,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recRTjo9e5hXY1WSk,Radisson Hotel Tapatio Guadalajara,Tlaquepaque,Mexico,Radisson by Choice,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recSUnFspVNPm8Zt7,"Radisson Blu Hotel Resort & Spa, Papagayo, Costa Rica",Guanacaste,Costa Rica,Radisson Blu by Choice,Pipeline,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recSUtTbCWRjYhsUV,Radisson RED Miraflores,Miraflores,Peru,Radisson RED by Choice,Open,use_choice_sitemap_property_url,CALA Choice sitemap URL candidate (name similarity 75%),https://www.choicehotels.com/peru/miraflores/radisson-hotels/pe004,yes
recTkv8cbk8MZW9pt,Comfort Hotel & Suites Natal,Natal,Brazil,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recULuD2QBXPk4p2U,Comfort Inn Tampico,Tampico,Mexico,Comfort Inn & Suites,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
recUMyhRYKH5y7aIV,"Atlantique View Resort And Spa, Ascend Hotel Collection",Anse De Mai,Dominica,Ascend Collection,Open,use_google_places_lookup,Legacy coordinates present but no OSM match — Google Places lookup deferred to later phase,,yes
