verdict,censusRecordId,censusName,hiltonName,ctyhocn,censusStatus,hiltonStatus,hiltonOpenDate,city,country,affiliation
match,recUfTgFSZ5sPh5PN,Hampton Inn by Hilton Queretaro Tecnologico,Hampton Inn by Hilton Queretaro Tecnologico,QROHTHX,Open,Open,2010-06-15,Queretaro,Mexico,Hampton by Hilton
unverified_no_code,recUfg2NwXX3DvDWF,Hilton Garden Inn San Fernando South Park,,,Pipeline,,,San Fernando,Trinidad and Tobago,Hilton Garden Inn
unverified_no_code,recUnBTixwCeIUIyi,Hilton Garden Inn Punta Cana,,,Pipeline,,,Punta Cana,Dominican Republic,Hilton Garden Inn
match,recUpdB7gyQPf7Ncp,Hampton by Hilton Bariloche,Hampton by Hilton Bariloche,BRCHXHX,Open,Open,2019-11-12,San Carlos de Bariloche,Argentina,Hampton by Hilton
unverified_no_code,recVbStgFNUHlyXrH,Hampton by Hilton Queretaro Airport,,,Pipeline,,,Navajas,Mexico,Hampton by Hilton
match,recVkD7AvbN5HFiep,Hilton Garden Inn Santa Ana San Jose,Hilton Garden Inn Santa Ana San Jose,SJOGSGI,Open,Open,2020-12-01,Santa Ana,Costa Rica,Hilton Garden Inn
unverified_no_code,recVv0tMh9mWFFs9A,Hilton Garden Inn Dorado,,,Pipeline,,,Dorado,Puerto Rico,Hilton Garden Inn
match,recW4v8SI56tuzgTZ,Hilton Princess San Pedro Sula,Hilton Princess San Pedro Sula,SAPHFHF,Open,Open,,San Pedro Sula,Honduras,Hilton
match,recW6b1Ka8EAtiFkt,Hilton Garden Inn Tuxtla Gutierrez,Hilton Garden Inn Tuxtla Gutierrez,TGZGIGI,Open,Open,2011-09-14,Tuxtla Gutierrez,Mexico,Hilton Garden Inn
match,recWEUUJs8nUqEO93,DoubleTree by Hilton Buenos Aires,DoubleTree by Hilton Buenos Aires,BUESIDT,Open,Open,2024-01-23,Buenos Aires,Argentina,DoubleTree by Hilton
match,recWYEaasdglayvsS,Hilton Garden Inn Itajai Praia Brava,Hilton Garden Inn Itajaí Praia Brava,NVTJSGI,Open,Open,2018-12-21,Itajai,Brazil,Hilton Garden Inn
unverified_no_code,recWoRZiIfJtcVKW3,Motto by Hilton Sao Paulo Ibirapuera,,,Pipeline,,,Sao Paulo,Brazil,Motto by Hilton
unverified_no_code,recWyQk68vXI7rxOf,Hampton by Hilton Punta Cana,,,Pipeline,,,Punta Cana,Dominican Republic,Hampton by Hilton
unverified_no_code,recXAzmdIWfxXdOcd,Hilton Garden Inn Buenos Aires Norte,,,Pipeline,,,Buenos Aires,Argentina,Hilton Garden Inn
