status,recordId,name,country,city,strSubmarket,existingDealality,proposedDealality,confidence,reason
unmapped,recUVdUrSlEe2gH87,Comfort Suites Paradise Island,Bahamas,Nassau,Bahamas Regional,,,No Match,no_corridor_match
mappable,recUWxpTKp1EPFEXi,Bahia Principe Escape Aquamarine,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
mappable,recUXVugYoolhQDtT,Wyndham Palmas Beach and Golf Boutique Resort,Puerto Rico,Humacao,Puerto Rico Regional,,East Coast / Island Access,High,pr_city_inference_map
unmapped,recUeU5QzGAKlVAzl,ibis budget Araraquara,Brazil,Araraquara,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recUpdB7gyQPf7Ncp,Hampton by Hilton Bariloche,Argentina,San Carlos de Bariloche,Patagonia Regional,,,No Match,no_corridor_match
unmapped,recUqzWEq7NHnAbPa,Ibis Sorocaba,Brazil,Sorocaba,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recUs5IIZDbJJDtp0,Iberostar Origin Daiquiri,Cuba,Ciego de Avila,Cuba Regional,,,No Match,country_not_in_corridor_registry
unmapped,recUxlOxvAr3rrWb0,Comfort Suites Londrina,Brazil,Londrina,Brazil South Regional,,,No Match,no_corridor_match
unmapped,recV4UjSCUJhyvfOV,abba Presidente Suites Puerto Montt,Chile,Puerto Montt,Los Lagos Regional,,,No Match,no_corridor_match
unmapped,recVEQgGQ0Ae6vckb,GHL Hotel Monteria,Colombia,Monteria,Colombia Regional,,,No Match,no_corridor_match
unmapped,recVFI9Rq93Wz3oaE,ibis Londrina,Brazil,Londrina,Brazil South Regional,,,No Match,no_corridor_match
unmapped,recVHa3lCK0xQagZn,Courtyard Puerto Montt,Chile,Puerto Montt,Los Lagos Regional,,,No Match,no_corridor_match
mappable,recVHvaiP5hDWoKze,The Legend Paracas Resort,Peru,Paracas,Peru Regional,,Paracas,Medium,exact_city_submarket_label
mappable,recVONWdQFgfEs5G7,Holiday Inn Mayaguez & Tropical Casino,Puerto Rico,Mayaguez,Puerto Rico Regional,,West Coast / University & Surf,High,name_keyword_west_coast
unmapped,recVTl4QgwpwUGB46,Mercure Maceio Pajucara,Brazil,Maceio,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,recVVcM2ao4ZjAkVZ,Hyatt Place Macae,Brazil,Macae,Rio de Janeiro State Regional,,,No Match,no_corridor_match
mappable,recVW169wqXjkUebi,Melia Caribe Beach Resort,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,recVbeRN9YdTro7Cq,Novotel Uberlandia,Brazil,Uberlandia,Brazil Southeast Regional,,,No Match,no_corridor_match
unmapped,recVkD7AvbN5HFiep,Hilton Garden Inn Santa Ana San Jose,Costa Rica,Santa Ana,Costa Rica Regional,,,No Match,no_corridor_match
unmapped,recVmVAbUeWXPw8vB,Best Western Plus Santa Cecilia Pachuca,Mexico,Pachuca,Mexico Central South Regional,,,No Match,no_corridor_match
unmapped,recVqW3zNuvV8iEnd,ibis Cucuta,Colombia,Cucuta,Santander Regional,,,No Match,no_corridor_match
unmapped,recVzZq5mvXNfhBBQ,Go Inn Vitoria,Brazil,Vitoria,Brazil Southeast Regional,,,No Match,no_corridor_match
mappable,recW74GbQkbtq60QD,Hodepa Gran Almirante,Dominican Republic,Santiago,Dominican Republic Regional,,Santiago / Cibao,Medium,name_keyword_santiago
unmapped,recW9XyCFfm2zoc6Y,Royal Decameron Punta Sal,Peru,Punta Sal,Peru Regional,,,No Match,no_corridor_match
unmapped,recW9oKmmNs3gswgb,Hotel Faranda Bolivar Cucuta A Member Of Radisson Individuals,Colombia,Cucuta,Santander Regional,,,No Match,no_corridor_match
unmapped,recWDVpockNvGArV5,Ibis Vitoria Praia Do Canto,Brazil,Vitoria,Brazil Southeast Regional,,,No Match,no_corridor_match
unmapped,recWGUDF3tgGkfutf,Mercure Macae,Brazil,Macae,Rio de Janeiro State Regional,,,No Match,no_corridor_match
unmapped,recWJG8pky7SDbwlB,Explora Atacama,Chile,San Pedro De Atacama,Chile Regional,,,No Match,no_corridor_match
mappable,recWMOgaylrwHvwTY,Residence Inn by Marriott Santiago de los Caballeros,Dominican Republic,Santiago de los Caballeros,Dominican Republic Regional,,Santiago / Cibao,Medium,name_keyword_santiago
unmapped,recWPW4w4k50oNJMR,Holiday Inn Navajoa,Mexico,Navojoa,Mexico Northwest Regional,,,No Match,no_corridor_match
unmapped,recWS8UI4a3c9l2a9,Villa Marina Lodge & Condos,Panama,Panama,Panama Regional,,,No Match,no_corridor_match
unmapped,recWUfuv6GbiuO2Mq,ibis budget Uberlandia,Brazil,Uberlandia,Brazil Southeast Regional,,,No Match,no_corridor_match
unmapped,recWYEaasdglayvsS,Hilton Garden Inn Itajai Praia Brava,Brazil,Itajai,Brazil South Regional,,,No Match,no_corridor_match
unmapped,recWhjokYlte3GoWJ,Pousada Aldeola by Slaviero Hoteis,Brazil,Praia de Baixio,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,recWi5N7V8mVAO4uD,TRYP by Wyndham Sao Paulo Guarulhos Airport,Brazil,Guarulhos,São Paulo State Regional,,,No Match,no_corridor_match
mappable,recWoffgVMS7EyS3H,Sunscape Coco Punta Cana,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,recWsNf9GLXWAHz94,Boca de Agua,Mexico,El Jordan,Mexican Caribbean Regional,,,No Match,no_corridor_match
unmapped,recWsis85b2Um3Oee,Holiday Inn Express Piedras Negras,Mexico,Piedras Negras,Coahuila & Monterrey Regional,,,No Match,no_corridor_match
unmapped,recWzniQwNB9gi5XZ,Bristol Aline,Brazil,Delmiro Gouveia,Brazil Northeast Regional,,,No Match,no_corridor_match
mappable,recX3oEWBfFNTu5Lx,Fairfield by Marriott Luquillo Beach,Puerto Rico,Luquillo,Puerto Rico Regional,,East Coast / Island Access,High,pr_city_inference_map
unmapped,recX8XHJTpR4Bf0Oj,ibis Styles Guayaquil,Ecuador,Guayaquil,Ecuador Regional,,,No Match,no_corridor_match
unmapped,recX9knlQuaMNnYwv,OYO Posada de los Angeles,Mexico,Patzcuaro,Pacific Central Regional,,,No Match,no_corridor_match
unmapped,recXDkmTfHu5lDzXi,Casa Andina Standard Chincha,Peru,Chincha Alta,Peru Regional,,,No Match,no_corridor_match
mappable,recXHLGlSITomKj2G,Tortuga Bay Resort,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
mappable,recXMWihELOo8SoPw,GHL Abadia Plaza Hotel,Colombia,Pereira,Colombia Regional,,Coffee Region / Pereira,High,name_keyword_coffee_region
unmapped,recXRrpGyD12uVQA0,Hotel Geotel Antofagasta,Chile,Antofagasta,Chile Regional,,,No Match,no_corridor_match
unmapped,recXRxoNTwHdFvwRU,Ibis Belem Aeroporto,Brazil,Belem,Brazil North Regional,,,No Match,no_corridor_match
mappable,recXUoykhhNXxduM4,Secrets Royal Beach Punta Cana - All Inclusive Adults Only,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,recXWuCdjhrGfhJ5p,Wyndham Puerto Varas Pettra,Chile,Puerto Varas,Los Lagos Regional,,,No Match,no_corridor_match
unmapped,recXf5GhpPsCFLGD0,Best Western Premier Maceio,Brazil,Maceio,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,recXjbcoRFIlUkQJL,Dazzler by Wyndham Puerto Madryn,Argentina,Puerto Madryn,Patagonia Regional,,,No Match,no_corridor_match
mappable,recXn9OjqYwHfWBou,Hilton Garden Inn La Romana,Dominican Republic,La Romana,Dominican Republic Regional,,La Romana / Bayahibe,High,name_keyword_la_romana
mappable,recXp9YtK3j4Keep6,The Ocean Club a Luxury Collection Resort Costa Norte,Dominican Republic,Sosua,Dominican Republic Regional,,Puerto Plata / Sosúa / Cabarete,High,name_keyword_north_coast
mappable,recXsdIoD3FNG093n,Emotions All Inclusive Puerto Plata Ascend Hotel Collection,Dominican Republic,Puerto Plata,Dominican Republic Regional,,Puerto Plata / Sosúa / Cabarete,High,name_keyword_north_coast
unmapped,recY42ZYhpx56Jrvy,Hotel Mykonos,Panama,Santiago,Panama Regional,,,No Match,no_corridor_match
unmapped,recY4B8n5czlpTJuw,Hampton Inn by Hilton Tampico Aeropuerto,Mexico,Tampico,Tamaulipas Regional,,,No Match,no_corridor_match
unmapped,recY6hN0btcfvt6R4,Las Casitas a Belmond Hotel Colca Canyon,Peru,Yanque,Peru Regional,,,No Match,no_corridor_match
unmapped,recYAjNNq3bE40h4E,Fiesta Inn Monclova,Mexico,Monclova,Coahuila & Monterrey Regional,,,No Match,no_corridor_match
unmapped,recYDu3Y6ezKJMxnz,OYO Hotel Posada San Vicente,Mexico,Santa Maria Huatulco,Oaxaca/Chiapas Regional,,,No Match,no_corridor_match
unmapped,recYIYQJp4iCalwQE,Bristol Zaniboni,Brazil,Mogi Mirim,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recYKdA0XOm6RpkLs,Almenat Embu das Artes Sao Paulo Tapestry Collection by Hilton,Brazil,Embu Das Artes,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recYUPNb6fgPnoX9H,OYO Hotel La Dolce Vita Rio das Ostras,Brazil,Rio Das Ostras,Rio de Janeiro State Regional,,,No Match,no_corridor_match
mappable,recYdFCf6D1LfvkLh,Hotel Santiago Curio Collection by Hilton,Dominican Republic,Santiago de los Caballeros,Dominican Republic Regional,,Santiago / Cibao,Medium,name_keyword_santiago
mappable,recYfm8R3oOZLo2oj,Hodelpa Centro Plaza,Dominican Republic,Santiago,Dominican Republic Regional,,Santiago / Cibao,Medium,name_keyword_santiago
mappable,recYkKync9M9dEskf,Dreams Dominicus La Romana,Dominican Republic,La Romana,Dominican Republic Regional,,La Romana / Bayahibe,High,name_keyword_la_romana
unmapped,recYlVkCPAChRPmPp,ibis Catanduva,Brazil,Catanduva,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recYoBoYqPr0lF9BM,OYO Del Verde Hotel,Brazil,Itapecerica Da Serra,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recYrgDnKQ1PIPU8W,Matiz Vilaboim Ribeirao Preto,Brazil,Ribeirao Preto,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recYsXAHYbLBPAj3c,Arelauquen Lodge a Tribute Portfolio Hotel San Carlos de Bariloch,Argentina,San Carlos de Bariloche,Patagonia Regional,,,No Match,no_corridor_match
mappable,recYt8Ja0rFAXiJEf,Hoteles MS San Luis Village,Colombia,San Andres,Colombia Regional,,San Andrés,High,name_keyword_san_andres
unmapped,recZ0P1GIZlaMDNl5,ibis budget Piracicaba,Brazil,Piracicaba,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,recZ1e0aRIrSjfUz3,Awasi Patagonia,Chile,Torres del Paine,Chile Regional,,,No Match,no_corridor_match
unmapped,recZ8YV7M43VM7lxA,Fiesta Inn Tepic,Mexico,Tepic,Pacific Central Regional,,,No Match,no_corridor_match
unmapped,recZG7CmutMerFv3G,ibis Styles Sorocaba Santa Rosalia,Brazil,Sorocaba,São Paulo State Regional,,,No Match,no_corridor_match
mappable,recZKYlLBHucB7ypY,Iberostar Costa Dorada,Dominican Republic,Puerto Plata,Dominican Republic Regional,,Puerto Plata / Sosúa / Cabarete,High,name_keyword_north_coast
