censusRecordId,name,country,Affiliation,status,reasonBucket,suggestedNextAction,nearMissPropertyId,nearMissDirectoryName,nearMissNameSim,nearMissBoostedSim,nearMissScore,nearMissConfidence,nearMissBrandOk,nearMissSharedTokens,nearMissClaimedByRecordId,nearMissClaimedByName,nearMissPropertyUrl
recxZrMYugVyHUQMk,Holiday Inn Mexico Buenavista,Mexico,Holiday Inn,Open,name_variant_needs_human,"Possible official match MEXBU (Holiday Inn Mexico Zona Centro, sim=1.00, tokens=buenavista|mexico_buenavista) — human confirm before apply; not safe for auto gate.",MEXBU,Holiday Inn Mexico Zona Centro,1,1,36,none,true,buenavista|mexico_buenavista,,,https://www.ihg.com/holidayinn/hotels/us/en/mexico/mexbu/hoteldetail
recxTDOmSTHBlucTv,Kimpton Mas Olas Todos Santos,Mexico,Kimpton,Open,name_variant_needs_human,"Possible official match SJDTD (Kimpton Mas Olas Resort and Spa, sim=0.38, tokens=olas|mas_olas) — human confirm before apply; not safe for auto gate.",SJDTD,Kimpton Mas Olas Resort and Spa,0.375,0.62,27,none,true,olas|mas_olas,,,https://www.ihg.com/kimptonhotels/hotels/us/en/mas-olas-resort-spa-todos-santos/sjdtd/hoteldetail
recsXkJMeyDFi0zGj,The Royal Haciendas,Mexico,Holiday Inn Club Vacations,Open,name_variant_needs_human,"Possible official match PCMRH (Holiday Inn Club Vacations Royal Haciendas All Inclusive, sim=0.22, tokens=royal|haciendas|royal_haciendas) — human confirm before apply; not safe for auto gate.",PCMRH,Holiday Inn Club Vacations Royal Haciendas All Inclusive,0.222,0.62,16,none,true,royal|haciendas|royal_haciendas,,,https://www.ihg.com/holidayinnclubvacations/hotels/us/en/playa-del-carmen/pcmrh/hoteldetail
reczPqwZtNjGzdoNS,Holiday Inn Panama Financial District,Panama,Holiday Inn,Open,name_variant_needs_human,"Possible official match PCYEX (Holiday Inn Panama Distrito Financiero, sim=1.00, tokens=district|financial_district) — human confirm before apply; not safe for auto gate.",PCYEX,Holiday Inn Panama Distrito Financiero,1,1,31,none,true,district|financial_district,,,https://www.ihg.com/holidayinn/hotels/us/en/panama/pcyex/hoteldetail
rech7Ag8cwcCWuCm1,Abitta Boutique Hotel,Puerto Rico,Independant,Open,name_variant_needs_human,"Possible official match SJUCC (Abitta Condado, sim=0.25, tokens=abitta) — human confirm before apply; not safe for auto gate.",SJUCC,Abitta Condado,0.25,0.52,18,none,true,abitta,,,https://www.ihg.com/spnd/hotels/us/en/san-juan/sjucc/hoteldetail
reclkst8umMbWRTmk,Hotel Indigo St. Kitts,Saint Kitts and Nevis,Hotel Indigo,Pipeline,no_destination_page_market,No IHG destinations page for Saint Kitts and Nevis (404). Recheck hoteldetail sitemap periodically; otherwise steward manually if property opens under IHG.,,,,,,,,,,,
recKFLhHX6JLGRXdD,Holiday Inn Express Belem Nazare,Brazil,Holiday Inn Express,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,BPREX,Holiday Inn Express Belém Ananindeua,0.667,0.667,70,medium,true,,recs2JM3uXqgAr9e0,Holiday Inn Express Belem Ananindeua,https://www.ihg.com/holidayinnexpress/hotels/us/en/belem/bprex/hoteldetail
recNopGrQ0daKYiSp,InterContinental Punta Piqueros,Chile,InterContinental,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recS65mnzpCvjt1jH,Holiday Inn Express,Colombia,Holiday Inn Express,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,EYPEX,Holiday Inn Express Yopal,0.76,0.76,72,medium,true,,rec3fJOMFCVW5FFkY,Holiday Inn Express Yopal,https://www.ihg.com/holidayinnexpress/hotels/us/en/yopal/eypex/hoteldetail
rec1s4PwI9HHtIyFT,Holiday Inn Express Cali Airport,Colombia,Holiday Inn Express,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,EYPEX,Holiday Inn Express Yopal,0.5,0.5,36,none,true,,rec3fJOMFCVW5FFkY,Holiday Inn Express Yopal,https://www.ihg.com/holidayinnexpress/hotels/us/en/yopal/eypex/hoteldetail
recT1aGrFAuSsEnLP,Holiday Inn Express Cali Airport,Colombia,Holiday Inn Express,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,EYPEX,Holiday Inn Express Yopal,0.5,0.5,36,none,true,,rec3fJOMFCVW5FFkY,Holiday Inn Express Yopal,https://www.ihg.com/holidayinnexpress/hotels/us/en/yopal/eypex/hoteldetail
recvmogByjihPP4Se,Holiday Inn Funza Columbia,Colombia,Holiday Inn Express,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
rect1m1mPZ0cC0LZd,Atwell Suites Costa Rica,Costa Rica,Atwell Suites,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recUwG3q75xzSAlJS,Holiday Inn Costa Rica,Costa Rica,Holiday Inn,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recnu7NCi9ok5JxiW,Holiday Inn Express La Romana,Dominican Republic,Holiday Inn Express,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recqFLDiPxDAEace7,Holiday Inn Express Punta Cana,Dominican Republic,Holiday Inn Express,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recFCHjqzohUfRLEI,Holiday Inn Express Santo Domingo,Dominican Republic,Holiday Inn Express,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,SDQEX,Holiday Inn Santo Domingo,0.8,0.8,42,none,false,santo|domingo|santo_domingo,rec3AmDU0Vyt6BVJ7,Holiday Inn Santo Domingo,https://www.ihg.com/holidayinn/hotels/us/en/santo-domingo/sdqex/hoteldetail
recOnoJgxi2MYxKke,InterContinental Guayaquil Ecuador,Ecuador,InterContinental,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
rec2wBLvM5jklw2Fd,Kimpton Kawana Bay,Grenada,Kimpton,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recseZgzcRJ4sdV1j,Avid Comitan,Mexico,Avid,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recrcXgRGlHlB5TQ5,Avid Guadalajara Expo,Mexico,Avid,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recjnRKDk7y6A5MpZ,Avid Merida Norte,Mexico,Avid,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recjfc9MD75KEHVQ6,Avid Pachuca,Mexico,Avid,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recYVpZchnzYF0H1p,Candlewood Suites Tijuana Otay,Mexico,Candlewood Suites,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
recCuaYVLjk0zrmgv,Crowne Plaza Ciudad de Mexico CDM,Mexico,Crowne Plaza,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,MEXLM,Crowne Plaza Mexico Norte Tlalnepantla,0.5,0.5,36,none,true,,recLUb9lcVPZMPzaA,Crowne Plaza Mexico City North Tlalnepantla,https://www.ihg.com/crowneplaza/hotels/us/en/tlalnepantla/mexlm/hoteldetail
recMIzyYlvdRI6we4,Crowne Plaza Durango,Mexico,Crowne Plaza,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,MIDPL,Crowne Plaza Merida,0.5,0.5,36,none,true,,,,https://www.ihg.com/crowneplaza/hotels/us/en/merida/midpl/hoteldetail
recOgbpJnpceafD9x,El Gran Encomendero,Mexico,Vignette Collection,Pipeline,pipeline_or_unopened,Treat as pipeline/unopened until an official ihg.com hoteldetail URL appears; then re-run directory sync.,,,,,,,,,,,
