sourceRecordId,rawHotelName,rawCity,rawCountry,rawWebsite,proposedIdentityKey,matchConfidence,matchScore,matchReason,recommendedAction,matchedCensusRecordId,matchedCensusName,matchedCensusCity,matchedCensusCountry,matchedIdentityKey,matchedCurrentBrand,matchedAffiliationStatus,distanceMeters,identityKeyCollision
node/1643715292,Eva Luna,,Dominican Republic,,osm_do_node_1643715292,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,143485,false
node/1650284822,Hotel Palapa,,Dominican Republic,https://www.palapabeachclub.com/,osm_do_node_1650284822,none,21,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/1653013577,Secrets Royal Beach Punta Cana,Punta Cana,Dominican Republic,https://www.hyatt.com/en-US/hotel/dominican-republic/secrets-royal-beach/serpc,osm_do_node_1653013577,none,36,"No credible name, geo, or website match",likely_new_candidate,recrpcMu4sx4vSkmS,AC Hotel Punta Cana,Punta Cana,Dominican Republic,ind_marriott_do_pujac,AC Hotels by Marriott,Branded,,false
node/1739578195,Hotel Las Caobas,,Dominican Republic,,osm_do_node_1739578195,none,21,"No credible name, geo, or website match",likely_new_candidate,recc4Q3BZldMeMtlA,Kimpton Las Mercedes,Santo Domingo,Dominican Republic,ind_ihg_do_sdqlm,Kimpton Hotels,Branded,,false
node/1745039683,Aparta Hotel Plaza del Sol,,Dominican Republic,,osm_do_node_1745039683,none,17,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/1825887426,Sivory Punta Cana,,Dominican Republic,,osm_do_node_1825887426,none,32,"No credible name, geo, or website match",likely_new_candidate,recrpcMu4sx4vSkmS,AC Hotel Punta Cana,Punta Cana,Dominican Republic,ind_marriott_do_pujac,AC Hotels by Marriott,Branded,,false
node/1837180673,Hotel Dilenia,,Dominican Republic,,osm_do_node_1837180673,none,21,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/1837180781,Hotel Colinas del Valle,,Dominican Republic,,osm_do_node_1837180781,none,18,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/1837226525,Hote Mi Casa,,Dominican Republic,,osm_do_node_1837226525,none,16,"No credible name, geo, or website match",likely_new_candidate,recazCEnMYzUaPGvy,"Casa Colonial Beach and Spa, an SLH Hotel",Puerto Plata,Dominican Republic,ind_hilton_do_popcclx,Small Luxury Hotels of the World,Branded,,false
node/1846307890,Hotel Vista del Valle,,Dominican Republic,,osm_do_node_1846307890,none,18,"No credible name, geo, or website match",likely_new_candidate,recUOyzOXn2Zdp98I,Radisson Hotel Santo Domingo,Santo Domingo,Dominican Republic,ind_choice_do_do003,Radisson Individuals by Choice,Branded,,false
node/1853487108,AltoCerro,,Dominican Republic,,osm_do_node_1853487108,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,247433,false
node/1857882814,Rancho Wendy,,Dominican Republic,,osm_do_node_1857882814,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,219224,false
node/1869448927,Rancho Guaraguao,,Dominican Republic,,osm_do_node_1869448927,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,242663,false
node/1869448950,Rancho Guaraguao,,Dominican Republic,,osm_do_node_1869448950,none,10,"No credible name, geo, or website match",likely_new_candidate,rec01MDiDGhOUizYu,DoubleTree by Hilton Punta Cana Downtown,Punta Cana,Dominican Republic,ind_hilton_do_pujoydt,DoubleTree by Hilton,Branded,242765,false
node/1882822690,Hostal Condo Parque,,Dominican Republic,,osm_do_node_1882822690,none,15,"No credible name, geo, or website match",likely_new_candidate,recdS7vpmjgcTvAFu,"Gran Hotel Europa Santo Domingo, Trademark by Wyndham",Santo Domingo,Dominican Republic,ind_wyndham_do_gran-hotel-europa-santo-domingo-trademark,Trademark Collection by Wyndham,Branded,949,false
node/1888636757,Las Canas,,Dominican Republic,,osm_do_node_1888636757,none,24,"No credible name, geo, or website match",likely_new_candidate,recc4Q3BZldMeMtlA,Kimpton Las Mercedes,Santo Domingo,Dominican Republic,ind_ihg_do_sdqlm,Kimpton Hotels,Branded,,false
