bucket,recordId,strId,fieldsUpdated
AUTO_CONFLICT,recb1TugaAkSIhGBY,270473,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recXedO8npDs6lQdv,263673,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recwTJyK028a8ZfNt,196956,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recYrcf8HpJcNOqki,268653,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recwGD6JX0xdLJgpT,290145,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,reckNY4SQHzXjWLBD,277230,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recrikOk2m2grKJv9,134999,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recWGf5jETLiVbIQP,166823,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec79u6kPnxqRdyi2,155766,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recu51JABui6zulIr,262168,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recXsdIoD3FNG093n,108691,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recbvUmkQstBHboEL,137328,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recw8qQXKshGnAqI0,220974,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recqxRjDzv5dm20Yb,130066,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recwAmhObzN4bJ5xA,182047,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,rec3DZvUzCrj2bvhv,137209,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recXUoykhhNXxduM4,156977,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recUF5xys1KcEVL2a,192290,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recoboNS2vMkvZ6rL,232214,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recd1LJ73C2ykwxmO,235362,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recK5CKuI0ocL9BOe,167655,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recJ0Sb3ABOdKdFyW,132208,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recMaPQqCZwid4h3j,226551,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recx3ENdO36lR8zQO,120815,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,reckdC19iK9N2q6LS,140892,Market; Submarket; city; country; name; Development Cost
DUPLICATE_WINNER,recBv43k6VrbbTDE5,289918,Market; Submarket; city; country; name; Development Cost
AUTO_CONFLICT,recbc7ZSZFOBMXp56,272970,Market; Submarket; city; country; name; Development Cost
