sourceRecordId,rawHotelName,rawCity,rawCountry,rawBrand,rawWebsite,qualityScore,qualityTier,missingFields,route,reason,matchedBrand,matchedFamily,independentLaneEligible,censusMatchConfidence,censusRecommendedAction,matchedCensusName,signalKinds
way/1060027594,Be Live,,Dominican Republic,Be Live,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1060027620,Be Live,,Dominican Republic,Be Live,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1060027624,Be Live,,Dominican Republic,Be Live,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1060027632,Be Live,,Dominican Republic,Be Live,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1060027633,Be Live,,Dominican Republic,Be Live,,65,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Be Live,Be Live,false,none,likely_new_candidate,,osm_brand_tag_unresolved|known_chain_name
way/1069434427,Villas Montelindo,,Dominican Republic,,,65,medium,missingCity|missingWebsite,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1100682889,La Tia Hotel Restaurant,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1134831880,Villas CODEVI,Dajabon,Dominican Republic,,https://villascodevi.com.do/,100,high,,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1140614121,Hotel Rosan Ruiz,,Dominican Republic,,,70,high,missingCity|missingWebsite,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1140614122,D Pravia Hotel,,Dominican Republic,,,70,high,missingCity|missingWebsite,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1140614123,Hotel El Centro,,Dominican Republic,,,70,high,missingCity|missingWebsite,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1140614124,Hotel Hermanos Bernabel,,Dominican Republic,,,70,high,missingCity|missingWebsite,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1162100225,Apartahotel La Olas,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1177931404,Finest Resort,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1197566838,Villa Scooby,,Dominican Republic,villascooby.com,https://villascooby.com,80,high,missingCity|missingPhone,steward_possible_branded,osm_brand_tag_not_in_active_dictionary,villascooby.com,,false,none,likely_new_candidate,,osm_brand_tag_unresolved
way/1215168596,Villa Flor de Cabrera,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/1227930271,Hotel Diosi,Neiba,Dominican Republic,Hotel Diosi,,85,high,missingWebsite|missingPhone,steward_possible_branded,osm_brand_tag_not_in_active_dictionary,Hotel Diosi,,false,none,likely_new_candidate,,osm_brand_tag_unresolved
