timestamp,route_or_page,operator_record_id,field_or_concept,canonical_key_expected,key_actually_used,fallback_used,unresolved,source_layer,user_facing_output_affected,recommended_action,raw_scope
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,activeMarkets,activeMarkets,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,marketPresenceType,marketPresenceType,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,serviceModelsSupported,serviceModelsSupported,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,managementStructuresSupported,managementStructuresSupported,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,offeredServices,offeredServices,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,newBuildOpeningExperience,newBuildOpeningExperience,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,preOpeningSupportCapability,preOpeningSupportCapability,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,ownerReportingLevel,ownerReportingLevel,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,dataConfidenceLevel,dataConfidenceLevel,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,sourceType,sourceType,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,lastUpdatedDate,lastUpdatedDate,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,brandFamiliesOperated,brandFamiliesOperated,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,conversionReflagExperience,conversionReflagExperience,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,softBrandLifestyleExperience,softBrandLifestyleExperience,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
2026-06-02T11:31:07.132Z,alignment_prefill_alias_resolution,,fbCapabilityLevel,fbCapabilityLevel,,false,true,alignment_prefill_alias_resolution,yes,data_backfill_needed,alignment_prefill_alias_resolution
