company,hqCity,hqCountry,calaHotels,calaPropertyCount,calaCountriesSummary,matchedOwnerName,matchType
Accor,Issy-les-Moulineaux,France,yes,6,Brazil,Accor,owner_exact
Accor Middle East & Africa,,France,yes,6,Brazil,Accor,partial
Aimbridge Hospitality,Plano,United States,yes,5,Bahamas; Dominican Republic,Aimbridge Hospitality,property_role
AKEN Hotels & Resorts,Miami,United States,yes,4,Argentina; Colombia,AKEN Hotels & Resorts,owner_exact
Aman Group S.A.R.L.,,Switzerland,yes,2,Dominican Republic; Turks and Caicos Islands,Aman Group S.A.R.L.,owner_exact
AMEK Group,Miami,United States,yes,4,Argentina; Mexico,AMEK Group,property_role
American Hotels Group,Saltillo,Mexico,yes,4,Mexico,American Hotels Group,owner_exact
Andras House Limited,Belfast,United Kingdom,yes,1,Saint Vincent and the Grenadines,Andras House Limited,property_role
Atlantica Hotels & Resorts,,Cyprus,yes,1,Brazil,Atlantica Hotels Int (Brasil) Ltda - Sleep Inn ...,partial
Atlantica Hotels International (Brasil) Ltda.,Barueri,Brazil,yes,27,Brazil,Atlantica Hotels International (Brasil) Ltda.,owner_exact
B&B Hotels,,France,yes,8,Brazil; Martinique,B&B Hotels,property_role
Balderrama Hotel Collection,Los Mochis,Mexico,yes,6,Mexico,Balderrama Hotel Collection,owner_exact
Barcelo Gestion Hotelera S.L.,Palma de Mallorca,Spain,yes,36,Mexico; Dominican Republic; Costa Rica; Cuba; Aruba; El Salvador; Guatemala; Nicaragua,Barcelo Gestion Hotelera S.L.,owner_exact
Barcelo Gestion Hotelera S.L.,,Spain,yes,36,Mexico; Dominican Republic; Costa Rica; Cuba; Aruba; El Salvador; Guatemala; Nicaragua,Barcelo Gestion Hotelera S.L.,owner_exact
Belmond Management Ltd,London,United Kingdom,yes,11,Peru; Brazil; Mexico; Anguilla,Belmond Management Ltd,owner_exact
Bern Hotels & Resorts,Panama City,Panama,yes,9,Panama,Bern Hotels & Resorts,owner_exact
Best Hotels,,Spain,yes,2,Dominican Republic,Best Hotels,owner_exact
Böena Lodges,San Jose,Costa Rica,yes,5,Costa Rica,Böëna Lodges,owner_exact
Bourbon Hotels & Resorts,,Brazil,yes,13,Brazil; Paraguay,Bourbon Hotels & Resorts,owner_exact
Brookfield Corporation,Toronto,Canada,yes,1,Brazil,Brookfield Corporation,owner_exact
Camino Real Hoteles,Mexico City,Mexico,yes,24,Mexico,Camino Real Hoteles,owner_exact
Camino Real Hoteles,,Mexico,yes,24,Mexico,Camino Real Hoteles,owner_exact
Caribe Hospitality,Escazú,Costa Rica,yes,15,Costa Rica; El Salvador; Mexico; Barbados; Jamaica; Puerto Rico; Trinidad and Tobago,Caribe Hospitality,owner_exact
Casa Andina Hoteles,Miraflores,Peru,yes,12,Peru,Casa Andina Hoteles,owner_exact
Casa Andina Hoteles,,Peru,yes,12,Peru,Casa Andina Hoteles,owner_exact
Catalonia Hotels & Resorts,Barcelona,Spain,yes,11,Dominican Republic; Mexico; Jamaica,Catalonia Hotels & Resorts,owner_exact
Cayman Group,Gerpinnes,Belgium,yes,1,Cayman Islands,Cayman Overseas Group Ltd.,partial
"Choice Hotels International, Inc.",North Bethesda,United States,yes,171,Brazil; Mexico; Colombia; Panama; Chile; Honduras; Costa Rica; Dominican Republic; Ecuador; El Salvador; Trinidad and Tobago; Peru; Uruguay; Argentina; Aruba; Bahamas; Barbados; Grenada; Guatemala; Puerto Rico; Sint Maarten (Dutch part); Suriname,"Choice Hotels International, Inc.",property_role
Columbia Sussex Corporation,Crestview Hills,United States,yes,1,Sint Maarten (Dutch part),Columbia Sussex Corporation,owner_exact
COMO Hotels and Resorts PTE Ltd,,Singapore,yes,1,Turks and Caicos Islands,COMO Hotels and Resorts PTE Ltd,owner_exact
Cubanacan Hotel Group,,Cuba,yes,35,Cuba,Cubanacan Hotel Group,owner_exact
Cubanacan Hotel Group,Havana,Cuba,yes,35,Cuba,Cubanacan Hotel Group,owner_exact
Dart Hospitality,Grand Cayman,Cayman Islands,yes,6,Cayman Islands; Anguilla,Dart Hospitality,owner_exact
Decameron All-Inclusive Hotels & Resorts,Bogota,Colombia,yes,8,Mexico; Colombia; Ecuador; Peru,Decameron All-Inclusive Hotels & Resorts,owner_exact
Desarrollos Hotelco Group,Caracas,Venezuela,yes,6,Venezuela; Aruba; Bermuda,Desarrollos Hotelco Group,owner_exact
Driftwood Hospitality Management,Palm Beach Gardens,United States,yes,2,Costa Rica; Puerto Rico,Driftwood Hospitality Management,property_role
Eagle Point Hotel Partners LLC,Brooklyn,United States,yes,1,Barbados,Eagle Point Hotel Partners LLC,property_role
Enchanting Hotels,,Costa Rica,yes,11,Costa Rica,Enchanting Hotels,owner_exact
Enchanting Hotels,Costa Rica,Costa Rica,yes,11,Costa Rica,Enchanting Hotels,owner_exact
Enjoy Group,Carrillos,Costa Rica,yes,4,Costa Rica,Enjoy Group,owner_exact
Ennismore,Brooklyn,United States,yes,1,Argentina,Ennismore,owner_exact
Estancias Extendidas,,Mexico,yes,11,Mexico,Estancias Extendidas,owner_exact
EuroAgentur Hotels & Travel,,Czech Republic,yes,8,Brazil,EuroAgentur Hotels & Travel,property_role
Eurostars Hotel Company S.L.,Barcelona,Spain,yes,8,Mexico; Argentina,Eurostars Hotel Company S.L.,owner_exact
Evenia Hotels,,Spain,yes,1,Panama,Evenia Hotels,owner_exact
Faranda Hotels & Resorts,,Colombia,yes,18,Colombia; Panama; Mexico; Costa Rica; Venezuela,Faranda Hotels & Resorts,owner_exact
Faranda Hotels & Resorts,Colombia,Colombia,yes,18,Colombia; Panama; Mexico; Costa Rica; Venezuela,Faranda Hotels & Resorts,owner_exact
Fibra Inn,Monterrey,Mexico,yes,28,Mexico,Fibra Inn,owner_exact
Fibra Inn,,Mexico,yes,28,Mexico,Fibra Inn,owner_exact
Fosun International Ltd,Shanghai,China,yes,1,Mexico,Fosun International Ltd,owner_exact
"Full House Resorts, Inc.",Las Vegas,United States,yes,1,Mexico,"Full House Resorts, Inc.",property_role
GHL Hoteles,Bogota,Colombia,yes,17,Colombia; Peru; Ecuador; Chile,GHL Hoteles,owner_exact
Global Operadora S.A.S,Bogota D.C.,Colombia,yes,4,Colombia,Global Operadora S.A.S,owner_exact
Globales,,Spain,yes,3,Nicaragua; Argentina,Globales,owner_exact
Grace Bay Resorts,Wilton Manors,United States,yes,5,Turks and Caicos Islands,Grace Bay Resorts,owner_exact
Grand Beach Hospitality Group,Miami Beach,United States,yes,1,Puerto Rico,Owner 1: Vivo Beach Club | Owner 2: The Interlink Group,partial
Grupo Brisas,Mexico City,Mexico,yes,11,Mexico,Grupo Brisas,owner_exact
Grupo Brisas,,Mexico,yes,11,Mexico,Grupo Brisas,owner_exact
Grupo de Turismo Gaviota,,Cuba,yes,48,Cuba,Grupo de Turismo Gaviota,owner_exact
Grupo Diestra,Mexico City,Mexico,yes,8,Mexico,Grupo Diestra,owner_exact
Grupo Hotelero Santa Fe,Mexico City,Mexico,yes,16,Mexico,Grupo Hotelero Santa Fe,owner_exact
Grupo Hotelero Santa Fe,,Mexico,yes,16,Mexico,Grupo Hotelero Santa Fe,owner_exact
Grupo Hoteles Playa S.A.,,Spain,yes,1,Dominican Republic,Grupo Hoteles Playa S.A.,owner_exact
Grupo Hotusa,Barcelona,Spain,yes,2,Colombia; Dominican Republic,Grupo Hotusa,owner_exact
Grupo Leumi,Costa Rica,Costa Rica,yes,3,Costa Rica,Grupo Leumi,owner_exact
Grupo Marta,Costa Rica,Costa Rica,yes,4,Costa Rica,Grupo Marta,owner_exact
Grupo Mawamba,Costa Rica,Costa Rica,yes,2,Costa Rica,Grupo Mawamba,owner_exact
"Grupo Posadas, S.A.B. DE C.V.",Mexico City,Mexico,yes,44,Mexico,"Grupo Posadas, S.A.B. DE C.V.",owner_exact
"Gulf Coast Hotel Management, Inc.",Topeka,United States,yes,1,Panama,"Gulf Coast Hotel Management, Inc.",property_role
H I Development,Tampa,United States,yes,3,Puerto Rico,H I Development,owner_exact
H10 Hotels,Barcelona,Spain,yes,2,Jamaica,H10 Hotels,owner_exact
Harbour Plaza Hotel Management Limited,Hong Kong,China,yes,1,Argentina,Hotel Plaza Francia S.A.,partial
Harcourt Developments,Dublin,Ireland,yes,1,Antigua and Barbuda,Harcourt Developments,owner_exact
"Hard Rock International (USA), Inc.",Davie,United States,yes,6,Mexico; Dominican Republic,"Hard Rock International (USA), Inc.",property_role
HCC Hotel Specialist,Curitiba,Brazil,yes,4,Brazil,HCC Hotel Specialist,owner_exact
Heritage Hotel Group,Irvine,United States,yes,2,Cayman Islands; Mexico,Heritage Hotel Group,property_role
Hesperia World,,Spain,yes,5,Venezuela,Hesperia World,property_role
HGM Hotels,Barranquilla,Colombia,yes,4,Colombia,HGM Hotels,property_role
HHM Hotels,Philadelphia,United States,yes,1,Bahamas,HHM Hotels,property_role
Highgate Hotels L.P.,New York,United States,yes,1,Guyana,Highgate Hotels L.P.,owner_exact
Hilton Grand Vacations,Orlando,United States,yes,3,Sint Maarten (Dutch part); Mexico,Hilton Grand Vacations,owner_exact
Hilton Worldwide,McLean,United States,yes,244,Mexico; Colombia; Brazil; Costa Rica; Peru; Puerto Rico; Argentina; Chile; Dominican Republic; Ecuador; Panama; Aruba; Honduras; Uruguay; Curacao; Guatemala; Nicaragua; Paraguay; Anguilla; Barbados; Belize; Bolivia; Bonaire; Cayman Islands; El Salvador; Jamaica; Saint Kitts and Nevis; Saint Lucia; Trinidad and Tobago; U.S. Virgin Islands,Hilton Worldwide,property_role
HM Hotels,,Spain,yes,5,Mexico; Dominican Republic,HM Hotels,owner_exact
Hodelpa Hotels,Santo Domingo,Dominican Republic,yes,8,Dominican Republic,Hodelpa Hotels,owner_exact
Hotel Camino Real S.A.,Guatemala City,Guatemala,yes,6,Guatemala,Hotel Camino Real S.A.,owner_exact
Hotel Equities,Alpharetta,United States,yes,3,Costa Rica; Dominican Republic; U.S. Virgin Islands,Hotel Equities,property_role
Hotel Grand Central Ltd,,Singapore,yes,2,Panama,Hotel Grand Central Ltd,property_role
Hoteleria Peruana S.A.C.,Lima,Peru,yes,14,Peru,Hoteleria Peruana S.A.C.,owner_exact
Hoteleria Peruana S.A.C.,,Peru,yes,14,Peru,Hoteleria Peruana S.A.C.,owner_exact
Hoteles Bogotá Plaza,Bogota,Colombia,yes,1,Colombia,Hoteles Bogotá Plaza,owner_exact
Hoteles Costa del Sol,Lima,Peru,yes,8,Peru,Hoteles Costa del Sol,owner_exact
Hoteles Wilson,Liberia,Costa Rica,yes,11,Costa Rica,Hoteles Wilson,owner_exact
Howard Johnson Argentina,Vicente López,Argentina,yes,34,Argentina; Chile; Paraguay,Howard Johnson Argentina,owner_exact
Hyatt Corporation,Chicago,United States,yes,4,Brazil,Hyatt Corporation,owner_exact
Iberostar Hotels & Resorts,Palma,Spain,yes,26,Mexico; Dominican Republic; Cuba; Jamaica; Brazil,Iberostar Hotels & Resorts,owner_exact
ICH Administracao de Hoteis S.A.,,Brazil,yes,42,Brazil,ICH Administracao de Hoteis S.A.,owner_exact
IHG Hotels & Resorts,Windsor,United Kingdom,yes,1,Aruba,IHG Hotels & Resorts,owner_exact
Impressive Resorts & Spas,Dominican Republic,Dominican Republic,yes,2,Dominican Republic,Impressive Resorts & Spas,owner_exact
Irawadi Corp S.A.,Panama City,Panama,yes,13,Mexico; Dominican Republic,Irawadi Corp S.A.,owner_exact
Irawadi Corp S.A.,Panamá,Panama,yes,13,Mexico; Dominican Republic,Irawadi Corp S.A.,owner_exact
JHSF,,Brazil,yes,9,Brazil; Uruguay,JHSF,owner_exact
Juan Carlos Delaney,Miami,United States,yes,5,Mexico,Owner 1: Armando Alcocer De Anda | Owner 2: Juan Carlos Alcocer Zenteno | Owner 3: Jose Octavio Alcocer Zenteno,partial
Karisma Hotels & Resorts,Miami,United States,yes,6,Mexico; Belize; Dominican Republic; Jamaica,Karisma Hotels & Resorts,owner_exact
Kempinski Hotels S.A.,,Switzerland,yes,2,Cuba; Mexico,Kempinski Hotels S.A.,property_role
Kerzner,,United Arab Emirates,yes,1,Mexico,Kerzner,owner_exact
L&R,London,United Kingdom,yes,3,Bahamas; Barbados; Cayman Islands,L&R,owner_exact
LATAM Hotel Corporation de Guatemala S.A.,Guatemala City,Guatemala,yes,5,Honduras; El Salvador; Guatemala; Nicaragua,LATAM Hotel Corporation de Guatemala S.A.,owner_exact
LaTour Hotels & Resorts,Asheville,United States,yes,1,Sint Maarten (Dutch part),LaTour Hotels & Resorts,owner_exact
"Leisure Hospitality Management, Inc.",Tulsa,United States,yes,1,Costa Rica,"Leisure Hospitality Management, Inc.",property_role
Lifestyle Holidays Vacation Club,Puerto Plata,Dominican Republic,yes,3,Dominican Republic,Lifestyle Holidays Vacation Club,owner_exact
Liongrove Capital Llc,Miami,United States,yes,1,Puerto Rico,Liongrove Capital Llc,owner_exact
LMC Hospitality,Aventura,United States,yes,1,Bolivia,LMC Hospitality,property_role
Lopesan Group,,Spain,yes,1,Dominican Republic,Lopesan Group,owner_exact
Mainsail Property Management LLC,Tampa,United States,yes,1,British Virgin Islands,Mainsail Property Management LLC,property_role
Majestic Resorts,Punta Cana,Dominican Republic,yes,5,Dominican Republic; Mexico,Majestic Resorts,owner_exact
Mandarin Oriental Hotel Group,New York,United States,yes,2,Chile; Saint Vincent and the Grenadines,Mandarin Oriental Hotel Group,property_role
Mandarin Oriental Hotel Group Limited,,China,yes,2,Chile; Saint Vincent and the Grenadines,Mandarin Oriental Hotel Group Limited,property_role
Manorview Hotels & Leisure Group,Johnstone,United Kingdom,yes,1,Costa Rica,Hamilton Leisure Group,partial
Marriott International,Bethesda,United States,yes,12,Barbados; Brazil; Mexico; Peru,Marriott International,owner_exact
Marriott Vacations Worldwide,Orlando,United States,yes,9,Mexico; U.S. Virgin Islands; Aruba; Bahamas; Costa Rica; Saint Kitts and Nevis,Marriott Vacations Worldwide,owner_exact
"Melia Hotels International, S.A",,Spain,yes,4,Argentina; Brazil; Dominican Republic; Mexico,"Melia Hotels International, S.A",owner_exact
"Melia Hotels International, S.A.",Palma de Mallorca,Spain,yes,4,Argentina; Brazil; Dominican Republic; Mexico,"Melia Hotels International, S.A",owner_exact
MGM Hotels & Resorts,Albufeira,Portugal,yes,7,Cuba,MGM Hotels & Resorts,property_role
Milan Hotel Group,Asheville,United States,yes,1,Panama,Milan Hotel Group,property_role
Milenium Grupo Hotelero Mexicano,,Mexico,yes,15,Mexico,Milenium Grupo Hotelero Mexicano,owner_exact
Minor Europe,Madrid,Spain,yes,15,Argentina; Colombia; Chile; Uruguay,Minor Europe,owner_exact
Minor Hotel Group Limited,Bangkok,Thailand,yes,15,Colombia; Brazil; Mexico,Minor Hotel Group Limited,owner_exact
Molo Hotel Group,Glasgow,United Kingdom,yes,2,Aruba; Turks and Caicos Islands,Molo Hotel Group,owner_exact
Nacional Inn Hotéis,Poços de Caldas,Brazil,yes,57,Brazil,Nacional Inn Hotéis,owner_exact
Nayara Hotels SRL,La Fortuna,Costa Rica,yes,4,Costa Rica; Panama,Nayara Hotels SRL,owner_exact
"New River Hotels, Inc.",Greensboro,United States,yes,1,Cuba,"New River Hotels, Inc.",property_role
Nikki Beach Hospitality Group,Miami Beach,United States,yes,1,Puerto Rico,Owner 1: Vivo Beach Club | Owner 2: The Interlink Group,partial
"Noble House Hotels & Resorts, LTD",Kirkland,United States,yes,1,Mexico,"Noble House Hotels & Resorts, LTD",property_role
Norte 19,,Mexico,yes,142,Mexico; Colombia; Chile; Costa Rica,Norte 19,owner_exact
Norte 19,Mexico City,Mexico,yes,142,Mexico; Colombia; Chile; Costa Rica,Norte 19,owner_exact
NRMA Parks and Resorts,,Australia,yes,3,Brazil,NRMA Parks and Resorts,property_role
Palace Resorts,Puerto Morelos,Mexico,yes,6,Mexico; Dominican Republic; Jamaica,Palace Resorts,owner_exact
Palladium Hotel Group,Eivissa,Spain,yes,14,Mexico; Dominican Republic; Jamaica; Brazil,Palladium Hotel Group,owner_exact
Parks Hospitality Group,Raleigh,United States,yes,12,Mexico,Parks Hospitality Holdings,partial
"Pestana Management, S.A.",Lisboa,Portugal,yes,5,Brazil; Argentina; Venezuela,"Pestana Management, S.A.",owner_exact
"Plum Garden Hotel Management Co., Ltd",Fuzhou,China,yes,1,Costa Rica,"Plum Garden Hotel Management Co., Ltd",property_role
