recordId,name,fields
recNP2jHW1fVPY85A,"The Rif at Mangrove Beach Corendon Curacao All-Inclusive Curio by Hilton",Year Affiliated
recNP4X6l4mQKq3SU,"Hilton Garden Inn Santo Andre",Year Affiliated
recNmYAApqJk2Z9AJ,"Hampton by Hilton Cartagena",Year Affiliated
recO0tYz62oDVOjW4,"Embassy Suites by Hilton Dorado Del Mar Beach Resort",Year Affiliated
recO8UEivz9QgCKwd,"Hilton Garden Inn Salamanca",Year Affiliated
recOIDGuz5GkN50j1,"Hilton Garden Inn Tucuman",Year Affiliated
recP4HW9GeBifcrDu,"Hilton Garden Inn Monterrey Airport",Year Affiliated
recPH5LiNI6mJ0C6Z,"Hampton by Hilton Bogota Usaquen",Year Affiliated
recQ5SlL6FCVfRa8z,"Canopy by Hilton Sao Paulo Jardins",Year Affiliated
recRwIdA4l429nWnN,"Hampton Inn Irapuato",Year Affiliated
recSTvtsdrlB4tzsA,"DoubleTree by Hilton Hotel Cariari San Jose",Year Affiliated
recT6BHrfZMM7g5f9,"Hilton San Salvador",Year Affiliated
recTNEARTDZMpglqw,"Hampton Inn & Suites Mexico City - Centro Historico",Year Affiliated
recTVMMcf8DcRXLi5,"Hilton Garden Inn Sao Jose do Rio Preto",Year Affiliated
recTh8yjp8TKdigcP,"Hampton by Hilton Barranquilla",Year Affiliated
recTjYJPhwL821Sxl,"Mahogany Bay Resort & Beach Club Curio Collection by Hilton",Year Affiliated
recTwfH8I5m042F7j,"Tru by Hilton Criciuma",Year Affiliated
recU3UNBEZPtrETuz,"Hilton Pilar",Year Affiliated
recUfTgFSZ5sPh5PN,"Hampton Inn by Hilton Queretaro Tecnologico",Year Affiliated
recUpdB7gyQPf7Ncp,"Hampton by Hilton Bariloche",Year Affiliated
recVkD7AvbN5HFiep,"Hilton Garden Inn Santa Ana San Jose",Year Affiliated
recW4v8SI56tuzgTZ,"Hilton Princess San Pedro Sula",Year Affiliated
recW6b1Ka8EAtiFkt,"Hilton Garden Inn Tuxtla Gutierrez",Year Affiliated
recWEUUJs8nUqEO93,"DoubleTree by Hilton Buenos Aires",Year Affiliated
recWYEaasdglayvsS,"Hilton Garden Inn Itajai Praia Brava",Year Affiliated
recXxX3Lpml1MSRic,"Tru by Hilton Cali Sur",Year Affiliated
recY4B8n5czlpTJuw,"Hampton Inn by Hilton Tampico Aeropuerto",Year Affiliated
recYKdA0XOm6RpkLs,"Almenat Embu das Artes Sao Paulo Tapestry Collection by Hilton",Year Affiliated
recYMJkXlhXlgKzuS,"Salvio Parque 93 Bogota Curio Collection by Hilton",Year Affiliated
recYrcf8HpJcNOqki,"Ola Santiago Providencia Tapestry Collection by Hilton",Year Affiliated
