wikidataQid,wikidataName,wikidataCity,wikidataCountry,wikidataLatitude,wikidataLongitude,wikidataWebsite,matchedStagingRecordId,matchedStagingSourceRecordId,matchedStagingName,matchedStagingCity,matchConfidence,matchScore,matchReason,distanceMeters,nameSimilarity,recommendedAction
Q111414841,Barcelo Santo Domingo,,Dominican Republic,18.47503,-69.91284,,,way/153864150,Hotel Barceló Santo Domingo,,high,75,name=0.78; geo=38m,37.54959907266472,0.778,likely_same_property
Q111414846,Hodelpa Nicolás de Ovando,,Dominican Republic,18.47511,-69.88285,,,node/597453526,Hostal Nicolas De Ovando,,medium,60,name=0.60; geo=16m,16.221622024487537,0.6,possible_same_property
Q111414844,Sheraton Santo Domingo,,Dominican Republic,18.46349,-69.89601,,,node/2778735252,Sheraton,,medium,62,name=0.75; geo=204m,203.68630424177658,0.75,possible_same_property
Q111414845,Boutique Hotel Palacio,,Dominican Republic,18.47379,-69.88622,,,way/406664905,Hotel Palacio,Santo Domingo,high,75,name=0.75; geo=26m,26.079416938360747,0.75,likely_same_property
Q111650618,Renaissance Santo Domingo Jaragua Hotel & Casino,,Dominican Republic,18.46167,-69.89917,,,node/1600567851,Hotel,,low,40,name=0.75,128736.37236468865,0.75,needs_research
Q111884762,Jarabacoa River Club,Jarabacoa,Dominican Republic,19.09312,-70.66651,,,node/3469337532,Jarabacua River Club & Resort,,low,45,geo=73m,73.13918780723088,0.4,likely_new_wikidata
Q111884761,Hotel Rancho Constanza,,Dominican Republic,18.91572,-70.72327,,,way/1069434427,Villas Montelindo,,low,45,geo=72m,71.67030500936018,0,likely_new_wikidata
Q111884766,Quality Hotel Real Aeropuerto Santo Domingo,,Dominican Republic,18.45668,-69.70609,,,way/251860535,Quality Inn,,low,45,geo=30m,30.0577684356511,0.143,likely_new_wikidata
Q111884767,Las Puertas del Paraíso,,Dominican Republic,19.64356,-70.05763,,,node/9566324244,Las Puertas Del Paraiso,,high,90,name=1.00; geo=46m,45.64850352767466,1,likely_same_property
Q111884764,Hotel Gran Jimenoa,Jarabacoa,Dominican Republic,19.140518,-70.631357,,,node/2020735712,Hotel Gran Jimenoa,,high,90,name=1.00; geo=40m,40.179487813241636,1,likely_same_property
Q111884765,Acuarium Suite Resort,,Dominican Republic,18.46969,-69.83274,,,way/404430604,Hotel Acuarium,Santo Domingo,low,45,geo=20m,19.765461399164828,0.25,likely_new_wikidata
Q111884770,El Magnifico,,Dominican Republic,19.75095,-70.40076,,,node/2966028861,Hotel Alegria,,low,32,geo=176m,175.81471740392058,0,likely_new_wikidata
Q111884771,Hotel Alegria,,Dominican Republic,19.75149,-70.4028,,,node/2966028861,Hotel Alegria,,high,90,name=1.00; geo=61m,61.477681501132516,1,likely_same_property
Q111884768,Hotel Kaoba,,Dominican Republic,19.74941,-70.409965,,,node/4610643992,Hotel Kaoba,,high,90,name=1.00; geo=18m,18.26214831495722,1,likely_same_property
Q111884769,Kite Beach Inn,,Dominican Republic,19.750392,-70.41465,,,node/5595144823,Swell Surf Camp,,low,32,geo=136m,136.15160563083967,0,likely_new_wikidata
Q111884774,Terra Linda Resort,,Dominican Republic,19.76498,-70.514943,,,node/1391142503,terra linda,,high,75,name=0.75; geo=31m,30.769921685773618,0.75,likely_same_property
Q111884775,Hotel El Rancho Sosua,,Dominican Republic,19.76495,-70.51681,,,node/593861356,Hotel El Rancho Sosua,,high,90,name=1.00; geo=27m,27.386197767375695,1,likely_same_property
Q111884772,Ultravioleta Boutique Residences,,Dominican Republic,19.75644,-70.418383,,,node/3076134847,Ultravioleta Boutique Residences,,high,77,name=1.00; geo=118m,117.90334816802977,1,likely_same_property
Q111884773,Piergiorgio Palace Hotel,,Dominican Republic,19.76258,-70.519253,,,way/284214289,Piergiorgio Palace Hotel,,high,90,name=1.00; geo=5m,5.444332016292196,1,likely_same_property
Q111884778,Instyle Residences at Infiniti Blu,,Dominican Republic,19.76868,-70.51439,,,node/587971075,Sosua by the sea Boutique Beach Resort,,low,32,geo=225m,225.14095577184852,0,likely_new_wikidata
Q111884779,Ahnvee Resort Adults Only,,Dominican Republic,19.770563,-70.50695,,,node/5343543031,AHNVEE Resorts Spa,,low,45,geo=30m,30.129104083511212,0.167,likely_new_wikidata
Q111884776,New Garden Hotel,,Dominican Republic,19.76516,-70.5156,,,node/1391142522,New Garden,,high,75,name=0.75; geo=10m,10.017434250414786,0.75,likely_same_property
Q111884777,Hampton by Hilton Santo Domingo Airport,,Dominican Republic,18.44933,-69.66493,,,node/9829772,Bohio Cabarete,,none,10,Weak or no match signals,170346.45683220317,0,likely_new_wikidata
Q111884782,Ocean Village Deluxe,Sosúa,Dominican Republic,19.78089,-70.50455,,,node/373851323,Hotel Europa,Sosua,none,25,city,1754.5468836694195,0,likely_new_wikidata
Q111884783,Natura Cabana Boutique Hotel & Spa,,Dominican Republic,19.78283,-70.46208,,,node/1600567851,Hotel,,low,40,name=0.75,187679.32749057494,0.75,needs_research
Q111884780,Coco Hotel,,Dominican Republic,19.77208,-70.51101,,,node/6996449236,Hotel Coco,,high,77,name=1.00; geo=130m,130.1857538515455,1,likely_same_property
Q111884781,Garden By The Sea,,Dominican Republic,19.78088,-70.49789,,,node/9829772,Bohio Cabarete,,none,10,Weak or no match signals,3794.2383617299247,0,likely_new_wikidata
Q111884786,Hotel Zapata,,Dominican Republic,18.44669,-69.6097,,,node/5399147196,Hotel Zapata,,medium,65,name=1.00; geo=350m,349.7237817824736,1,possible_same_property
Q111884787,Hotel Garant & Suites,,Dominican Republic,18.4487,-69.60769,,,way/407053188,Azzurra Aparta Hotel,Boca Chica,low,45,geo=71m,71.28383311388093,0.2,likely_new_wikidata
Q111884784,Amanera,,Dominican Republic,19.677717,-70.018562,https://www.aman.com/resorts/amanera,,node/9829772,Bohio Cabarete,,none,10,Weak or no match signals,47855.211193071314,0,likely_new_wikidata
Q111884785,Hotel Villa Capri,,Dominican Republic,18.45339,-69.60665,,,way/407017172,Hotel Villa Capri,Boca Chica,high,77,name=1.00; geo=168m,168.2514797938044,1,likely_same_property
Q111884788,Atlantis Hotel,,Dominican Republic,19.31367,-69.57136,,,node/7353712778,Hotel Atlantis,,high,90,name=1.00; geo=39m,39.13914245109813,1,likely_same_property
Q112020286,Green Land Bubble Glamping,,Dominican Republic,19.69188,-70.38487,,,node/9829772,Bohio Cabarete,,none,10,Weak or no match signals,12985.371665943803,0,likely_new_wikidata
Q112020287,Villa Florie Condo - Economic Accommodations,,Dominican Republic,19.7652,-70.5111,,,node/373851323,Hotel Europa,Sosua,low,32,geo=147m,147.49581432201947,0,likely_new_wikidata
Q112020285,Playa Paraiso en Magante,,Dominican Republic,19.62084,-70.169,,,node/2613933314,Los Gringos,,low,45,geo=38m,37.6161553999169,0,likely_new_wikidata
Q112020290,Aparthotel Michaela,,Dominican Republic,19.766261,-70.514811,,,node/1600567851,Hotel,,low,40,name=0.75,184067.7754624242,0.75,needs_research
Q112020291,Hotel Don Andres,Puerto Plata Province,Dominican Republic,19.76732,-70.51571,,,node/1600567851,Hotel,,low,40,name=0.75,184148.09094723675,0.75,needs_research
Q112020288,Hotel Alicia Beach,Sosúa,Dominican Republic,19.76496,-70.51701,,,node/593861352,Hotel Casa Cayena Club,,low,45,geo=13m,12.924863842731508,0.167,likely_new_wikidata
Q112020289,Hotel Sea Breeze Sosua,,Dominican Republic,19.7653683,-70.5164243,,,node/593861357,Hotel Sea Breeze,,high,75,name=0.75; geo=13m,13.486571393825162,0.75,likely_same_property
Q112020294,Caribbean Diamond Boutique Hotel,,Dominican Republic,19.77613,-70.51206,,,node/1600567851,Hotel,,low,40,name=0.75,185198.80994438537,0.75,needs_research
Q112020295,El Encuentro Surf Lodge,,Dominican Republic,19.77897,-70.44992,,,node/9668071343,El Encuentro Surf Lodge,,high,90,name=1.00; geo=17m,17.463483407901787,1,likely_same_property
Q112020293,Gipsy Ranch Rooms,,Dominican Republic,19.77429,-70.44573,,,node/1635256169,Coconut Palms Resort,,low,32,geo=118m,117.73723926875373,0,likely_new_wikidata
Q112020298,Hotel Hostal Galsi,,Dominican Republic,19.78588,-70.67426,,,node/6022237072,Hotel Galsi,Puerto Plata,medium,60,name=0.67; geo=6m,6.000913443989777,0.667,possible_same_property
Q112020299,Hotel La Saladilla Beach Club,,Dominican Republic,18.18036,-71.07277,,,node/5435064148,Hotel La Saladilla Beach Club,,high,90,name=1.00; geo=65m,64.82322906931685,1,likely_same_property
Q112020296,Hotel Caribe,Santa Cruz de Barahona,Dominican Republic,18.20199,-71.08937,,,way/339752040,Hotel Caribe,,high,90,name=1.00; geo=17m,16.974813149547998,1,likely_same_property
Q112020297,Hotel Loro Tuerto,,Dominican Republic,18.20761,-71.09687,,,node/9028309788,Hotel Loro Tuerto,,high,90,name=1.00; geo=14m,14.095471578696634,1,likely_same_property
Q112020302,Parco del Caribe,,Dominican Republic,18.44841,-69.61091,,,way/407043746,Hotel El Greco,Boca Chica,low,45,geo=33m,33.129168539553646,0,likely_new_wikidata
Q112020303,Aparta Hotel Azzurra,,Dominican Republic,18.44837,-69.60935,,,way/407053188,Azzurra Aparta Hotel,Boca Chica,high,77,name=1.00; geo=147m,147.4542612533653,1,likely_same_property
Q112020300,El Malecon B&B Hotel,Municipio de Cabrera,Dominican Republic,19.64526,-69.90268,,,node/1600567851,Hotel,,low,40,name=0.75,203198.93135463822,0.75,needs_research
Q112020301,Boca Beach Residence Hotel,,Dominican Republic,18.44799,-69.61274,,,node/5399147196,Hotel Zapata,,low,45,geo=11m,11.23062242124795,0.2,likely_new_wikidata
Q112020306,Hotel Hamilton,,Dominican Republic,18.45215,-69.60582,,,node/1600567851,Hotel,,low,40,name=0.75,158878.4658081066,0.75,needs_research
Q112020307,Calypso Beach,,Dominican Republic,18.449373,-69.606208,,,way/407075377,Calypso Beach Hotel,,high,75,name=0.75; geo=26m,26.272047028015884,0.75,likely_same_property
Q112020304,Villa Carolina,,Dominican Republic,19.79201,-70.68921,,,node/2106239024,Hostal Kevin,,none,20,geo=730m,729.5209835513192,0,likely_new_wikidata
Q112020305,Hotel Casa Coco,Boca Chica,Dominican Republic,18.44879,-69.60835,,,node/11035653720,Hotel Casa Coco,Boca Chica,high,105,name=1.00; city; geo=14m,14.14155657089292,1,likely_same_property
Q112020310,Hotel Neptuno's Refugio,Boca Chica,Dominican Republic,18.44859,-69.60263,,,node/1600567851,Hotel,,low,40,name=0.75,159142.92545213364,0.75,needs_research
Q112020311,Vista Marina Residence,,Dominican Republic,18.44849,-69.60147,,,node/314446408,Hamaca,,none,20,geo=288m,288.440137549694,0,likely_new_wikidata
