priority,stewardPath,brandName,parentCompany,censusRecordId,censusName,country,city,website,propertyId,blankFieldsJoined,instruction
1,browser_save_property_page,BW Signature Collection,BWH Hotels,rec27vAk9TzI8tLei,Brion City Hotel BW Signature Collection,Curaçao,Willemstad,https://www.bestwestern.com/en_US/book/hotels-in-willemstad/brion-city-hotel-bw-signature-collection/propertyCode.71029.html,71029,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Signature Collection,BWH Hotels,recKQOevm0r59mVku,BW Signature Collection Hotel Rincon De Puembo,Ecuador,Quito,https://www.bestwestern.com/en_US/book/hotels-in-quito/hotel-rincon-de-puembo-bw-signature-collection/propertyCode.70209.html,70209,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Signature Collection,BWH Hotels,recXEYsh3VzxIZ7Rl,BW Signature Collection Libre Hotel,Peru,Lima,https://www.bestwestern.com/en_US/book/hotels-in-lima/libre-hotel-bw-signature-collection/propertyCode.76413.html,76413,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Signature Collection,BWH Hotels,recBaQzP4Pu3BI0CO,Mayaguez Plaza Hotel BW Signature Collection,Puerto Rico,Mayaguez,https://www.bestwestern.com/en_US/book/hotels-in-mayaguez/hotel-mayaguez-plaza-bw-signature-collection/propertyCode.55105.html,55105,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,BW Signature Collection,BWH Hotels,recJwP4KLra5DnmTZ,"Wanderlust Experience Hotel, BW Signature Collection",Brazil,Campos de Jordao,https://www.bestwestern.com/en_US/book/hotels-in-campos-do-jordao/wanderlust-experience-hotel-bw-signature-collection/propertyCode.77124.html,77124,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,reckVsfRC9Uu7gUUH,Comfort Hotel Bauru,Brazil,Bauru,https://www.choicehotels.com/sao-paulo/bauru/comfort-inn-hotels/br114,BR114,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recUQrkSxWLn01s92,Comfort Hotel Fortaleza,Brazil,Fortaleza,https://www.choicehotels.com/ceara/fortaleza/comfort-inn-hotels/br010,BR010,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,rec6mRuB2thYBcO4L,Comfort Hotel Goiania,Brazil,Goiania,https://www.choicehotels.com/goias/goiania/comfort-inn-hotels/br089,BR089,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recLfJf5Y3l37uaMD,Comfort Hotel Guarulhos Airport,Brazil,Guarulhos,https://www.choicehotels.com/sao-paulo/guarulhos/comfort-inn-hotels/br152,BR152,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recVCFNAE867smKyT,Comfort Hotel Ibirapuera,Brazil,Sao Paulo,https://www.choicehotels.com/sao-paulo/sao-paulo/comfort-inn-hotels/br050,BR050,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recFuwaeV12nr5j64,Comfort Hotel Manaus,Brazil,Manaus,https://www.choicehotels.com/amazonas/manaus/comfort-inn-hotels/br083,BR083,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Brazil,Sao Caetano do Sul,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/comfort-inn-hotels/br126,BR126,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recBqjM7mQgCZIpqh,Comfort Hotel Taguatinga,Brazil,Taguatinga,https://www.choicehotels.com/distrito-federal/taguatinga/comfort-inn-hotels/br073,BR073,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recJG39v9OTcwihy8,Comfort Inn & Suites Levittown,Puerto Rico,Toa Baja,https://www.choicehotels.com/puerto-rico/levittown/comfort-inn-hotels/pr006,PR006,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,rec4gTiLtqAToexR2,Comfort Inn Ciudad Juarez,Mexico,Ciudad Juárez,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,MX109,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recwrzq0Sq9wUqx42,Comfort Inn Ciudad Juarez,Mexico,Ciudad Juarez,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,MX109,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recCdbhX9YK5Lfo6g,Comfort Inn Delicias,Mexico,Ciudad Delicias,https://www.choicehotels.com/chihuahua/ciudad-delicias/comfort-inn-hotels/mx159,MX159,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,reco6dhOREJ8JyAfa,Comfort Inn Joinville,Brazil,Joinville,https://www.choicehotels.com/santa-catarina/joinville/comfort-inn-hotels/br080,BR080,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recEVAyuUgQqrsAa6,Comfort Inn Monterrey Valle,Mexico,Monterrey,https://www.choicehotels.com/nuevo-leon/monterrey/comfort-inn-hotels/mx051,MX051,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recyL5evuY45rEV6E,Comfort Inn San Luis Potosi,Mexico,San Luis Potosi,https://www.choicehotels.com/san-luis-potosi/san-luis-potosi/comfort-inn-hotels/mx089,MX089,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recqjKt6MSUdEoo0t,Comfort Serra da Canastra,Brazil,Sao Joao Batista do Gloria,https://www.choicehotels.com/minas-gerais/sao-joao-batista-do-gloria/comfort-inn-hotels/br179,BR179,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recguCs8MkHILsbxx,Comfort Suites Alphaville,Brazil,Barueri,https://www.choicehotels.com/sao-paulo/barueri/comfort-suites-hotels/br024,BR024,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recsyaMGAIQQuvOI3,Comfort Suites Vitoria,Brazil,Vitoria,https://www.choicehotels.com/espirito-santo/vitoria/comfort-suites-hotels/br115,BR115,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Comfort Inn & Suites,Choice Hotels International,recchbmgK8qZTKQz3,Former Comfort Suites Macae,Brazil,Macae,https://www.choicehotels.com/rio-de-janeiro/macae/comfort-suites-hotels/br075,BR075,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Country Inn & Suites by Choice,Choice Hotels International,recexALRJCnOkTBt1,Country Inn & Suites By Radisson San Jose Aeropuerto Costa Rica,Costa Rica,San Jose,https://www.choicehotels.com/costa-rica/san-jose-heredia/country-hotels/cr022,CR022,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Dazzler by Wyndham,Wyndham Hotels & Resorts,rec2TKlMhwraaTSDJ,Dazzler by Wyndham Buenos Aires Maipu,Argentina,Buenos Aires,https://www.wyndhamhotels.com/en-ca/dazzler/buenos-aires-argentina/dazzler-maipu/overview,BUENOS-AIRES-ARGENTI,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Dazzler by Wyndham,Wyndham Hotels & Resorts,recJDRE02ELNAJDgd,Dazzler by Wyndham Buenos Aires Palermo,Argentina,Buenos Aires,https://www.wyndhamhotels.com/dazzler/buenos-aires-argentina/dazzler-palermo-buenos-aires/overview,DAZZLER-PALERMO-BUEN,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Dazzler by Wyndham,Wyndham Hotels & Resorts,rec5K8EARkAC4OR90,Dazzler by Wyndham Buenos Aires Polo,Argentina,Buenos Aires,https://www.wyndhamhotels.com/dazzler/buenos-aires-argentina/dazzler-polo-hotel-buenos-aires/overview,DAZZLER-POLO-HOTEL-B,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Dazzler by Wyndham,Wyndham Hotels & Resorts,rechQ3OmDQACgbZCy,Dazzler by Wyndham Buenos Aires Recoleta,Argentina,Buenos Aires,https://www.wyndhamhotels.com/en-ca/dazzler/buenos-aires-argentina/dazzler-recoleta/overview,BUENOS-AIRES-ARGENTI,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Dazzler by Wyndham,Wyndham Hotels & Resorts,recRvqKBSqXrWQPD5,Dazzler by Wyndham Buenos Aires San Martin,Argentina,Buenos Aires,https://www.wyndhamhotels.com/en-ca/dazzler/buenos-aires-argentina/dazzler-san-martin/overview,BUENOS-AIRES-ARGENTI,Amenities,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
