brand,brandCode,status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,fieldsToApply
Curio Collection by Hilton,QQ,unmatched_directory,,,"Domes Aulus Elounda Resort, Curio Collection by Hilton",HERBSQQ,none,44,
Curio Collection by Hilton,QQ,unmatched_directory,,,"DUO Hotel Lisbon, Curio Collection by Hilton",LISBOQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Elika Cave Suites Cappadocia, Curio Collection by Hilton",NAVECQQ,none,44,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Excelsior Hotel & Spa Baku, Curio Collection by Hilton",GYDEHQQ,none,51,
Curio Collection by Hilton,QQ,no_changes,rectoi6KxnMR0guvX,Gran Hotel Costa Rica Curio Collection by Hilton,"Gran Hotel Costa Rica, Curio Collection by Hilton",SJOCUQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Grand Hotel des Sablettes Plage, Curio Collection by Hilton",TLNSPQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Grand Hotel Savoia Genova, Curio Collection by Hilton",GOASAQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton",MILTOQQ,none,45,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Grand Hotel Vilnius, Curio Collection by Hilton",VNODEQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton",ISTHSQQ,none,44,
Curio Collection by Hilton,QQ,no_changes,recJWTzga4iCeOwia,Curio Collection by Hilton Harbor Club St Lucia,"Harbor Club St. Lucia, Curio Collection by Hilton",SLUHCQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hart Shoreditch Hotel London, Curio Collection by Hilton",LONSDQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Haven Hotel Rotterdam, Curio Collection by Hilton",RTMCCQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Higueron Hotel Malaga, Curio Collection by Hilton",AGPRHQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,Hinode Hills Niseko Village,CTSHNQQ,none,20,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hoodoo Moab, Curio Collection by Hilton",CNYCUQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton",RAPSSQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Alpenrock Breckenridge, Curio Collection by Hilton",QKBBRQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Andaluz Albuquerque, Curio Collection by Hilton",ABQANQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Astoria Vienna, Curio Collection by Hilton",VIEASQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Fort Des Moines, Curio Collection by Hilton",DSMCUQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Montera Madrid, Curio Collection by Hilton",MADEMQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Hotel Palacio Bellas Artes San Sebastián, Curio Collection by Hilton",EASMTQQ,none,48,
