candidateRecordId,verifiedHotelName,verifiedDedupeKey,osmCountry,matchedLegacyRecordId,matchScore,status
recY437Oi5BIAFlGY,Belém Soft Hotel,belem soft hotel|belem|brazil,Brazil,rec0Ct1YQeMREb0KA,100,written
recYPGzVxgDxgCHXD,Estanplaza Funchal Faria Lima,estanplaza funchal faria lima|sao paulo|brazil,Brazil,recgjMDLMJGLj8eXD,100,written
recYt74ksZgTgHGgc,Copacabana Mar Hotel,copacabana mar hotel|rio de janeiro|brazil,Brazil,recEB0QggKmt4k45K,100,written
recZWoeVbylIQB4nJ,Transamerica Prime Paradise Garden,transamerica prime paradise garden|sao paulo|brazil,Brazil,rechxpg5lOLbY3GF4,100,written
recb33kDyaxx0lKdD,Bahiamar Hotel,bahiamar hotel|salvador|brazil,Brazil,recW0uptafuJNOtXm,100,written
recbk0raDpfGfWqgI,Ecologic Ville Resort & Spa,ecologic ville resort & spa|caldas novas|brazil,Brazil,recB1YgPUUNed3cKn,100,written
rec1o2lAdfpedjrxL,Hotel García,hotel garcia|colon|panama,Panama,rec7YCfjbNNhtGqCj,100,written
rec2Ll5QqppnXxh4c,Avila Hotel,avila hotel|panama city|panama,Panama,recIc1Ar87nkPNwXD,100,written
rec2wic7ha4na3ov4,Hotel Santa Fe,hotel santa fe|santa fe|panama,Panama,recTnF4vJIt6oZ890,100,written
rec3lnWjgz27U0TLC,Hotel Bella Vista,hotel bella vista|panama|panama,Panama,recHuwUPvZ9DDJJQy,100,written
rec6yVdNWiEYni8FU,Best Western El Dorado Panama Hotel,best western el dorado panama hotel|panama|panama,Panama,rec5sKWsYfhiKJtNn,100,written
rec8HIkVCjpFwg1ox,Principe Hotel & Suites,principe hotel & suites|ciudad de panama|panama,Panama,rectr5Q9AP0xNuwdX,100,written
rec8uG62CMjtNVQXe,Plaza Paitilla Inn,plaza paitilla inn|panama|panama,Panama,rec5Iu7VDNWmGilzQ,100,written
rec9zvuI1sKhmLq6k,Gamboa Rainforest Resort,gamboa rainforest resort|gamboa|panama,Panama,recQjmtj70W15glMb,100,written
recDiyKEZieUHVKdS,La Casa de la Abuela,la casa de la abuela|boquete|panama,Panama,recPYrR8BEyhlH8Y8,100,written
recFUtAxzqMksnsDq,Hotel Bellagio,hotel bellagio|meteti|panama,Panama,recJp2cDFTBhZXK3h,100,written
recFoClud2l2JCEWO,Hampton by Hilton David,hampton by hilton david|david sur|panama,Panama,recG4fIejQRdfUNIm,100,written
recJw7Qj69CjUH8CY,Hotel Iris,hotel iris|david|panama,Panama,rectHcQ8WzkSjw5Eo,100,written
recOX8ctsREcbeI56,Hotel Castilla,hotel castilla|david|panama,Panama,recGH4xLVHUBQHbFM,100,written
recPEhekFPKf6Opg6,Hotel Milan,hotel milan|ciudad de panama|panama,Panama,recWoqK7g4hCQFaYK,100,written
