brand,brandCode,censusRecordId,censusName,directoryName,ctyhocn,status,headline,primaryDescription
DoubleTree by Hilton,DT,rec4bSVPjrcRfLaSk,DoubleTree by Hilton Porto Alegre,DoubleTree by Hilton Porto Alegre,POABRDT,ready,Scenic stay overlooking Guaíba River,"Find us on the banks of the river in the Praia de Belas neighborhood. We offer the ideal location next to a major shopping center and corporate offices. All the action of downtown is just four kilometers away. Enjoy our fitness center, views of the river from our infinity pool, and exquisite dining in our restaurant."
DoubleTree by Hilton,DT,recL1iqX67rD9Im1Y,DoubleTree by Hilton Punta Cana Downtown,DoubleTree by Hilton Punta Cana Downtown,PUJOYDT,ready,Downtown stay near beaches,"Our downtown hotel is near Plaza San Juan Shopping Center, and within five minutes of Coco Bongo and Caribbean Lake Park. Beaches including Playa Bibijagua and Playa Bavaro are less than 20 minutes away. Punta Cana International Airport is a 12-minute drive. Enjoy our outdoor pool, event space, and on-site dining."
DoubleTree by Hilton,DT,recKKU7o2QlPqaSCe,DoubleTree by Hilton Santiago Kennedy,DoubleTree by Hilton Santiago Kennedy,SCLSKDT,ready,Great views of Santiago,"Just off President Kennedy Avenue, our hotel is less than four km. from Costanera Center and Bicentennial Park. We are surrounded by several restaurants, shops, and businesses. The Santiago city center and Arturo Merino Benitez Airport are about 20 minutes away. Our 17th floor restaurant features panoramic views of the city and mountains."
DoubleTree by Hilton,DT,recZt66WxPF4ZyobF,DoubleTree by Hilton Sao Paulo Itaim,DoubleTree by Hilton Sao Paulo Itaim,SAODTDT,ready,Museums and the airport in close reach,"Our hotel is surrounded by popular restaurants and bars in São Paulo's Itaim Bibi neighborhood. We're five kilometers from Ibirapuera Park, home to numerous museums, the Oscar Niemeyer Auditorium, and a planetarium. It's a nine-kilometer drive to Congonhas-São Paulo Airport. Relax by our outdoor pool."
DoubleTree by Hilton,DT,rec4fpErb1WQoRS8N,DoubleTree by Hilton Toluca,DoubleTree by Hilton Toluca,TLCTLDT,ready,Corporate convenience in Toluca,"Our hotel is in Toluca's industrial zone, within two kilometers of General Motors and Pfizer. We're 10 minutes from downtown, with a free shuttle to Toluca International Airport (TLC). Enjoy a warm chocolate chip cookie when you arrive, and a choice of all-day dining options. Our 17,000 square feet of event space includes 15 ballrooms."
DoubleTree by Hilton,DT,rechcNXNRIUaRNE8V,DoubleTree by Hilton Trujillo,DoubleTree by Hilton Trujillo,TRUEEDT,ready,An elegant welcome to Trujillo,"Our hotel is seven kilometers from the city center, just a few minutes from a golf course, shops, restaurants, and parks. We’re 10 minutes from the beach and 20 minutes from the airport. Unwind after a full day at our fourth-floor outdoor swimming pool, fitness center, or spa. We also offer 2,700 sq. ft. of event space for meetings and special events."
DoubleTree by Hilton,DT,rec8Kr5nKdrODSdDp,DoubleTree by Hilton Lima Miraflores El Pardo,El Pardo Lima - A DoubleTree by Hilton Hotel,LIMPUDT,ready,Peruvian art and Pacific views in Miraflores,"Our hotel is a 10-minute walk from the ocean and Miraflores attractions like Kennedy Park, Larcomar, and Huaca Pucllana, with the San Isidro business district just a short drive away. Unwind in our gym or relax by the heated pool with stunning city views. Savor cocktails on our terrace, indulge in exceptional Italian dining, and enjoy a warm chocolate chip cookie upon arrival."
Embassy Suites by Hilton,ES,recM0yKCzuvWNXEIo,Embassy Suites by Hilton Aruba Resort,Embassy Suites by Hilton Aruba Resort,AUAJMES,ready,Escape to Eagle Beach,"With views of the Caribbean, we’re between Eagle Beach and Palm Beach, 15 minutes from AUA Airport. Access the beach via our private tunnel and enjoy our spacious two-room suites, pools, cabanas, daily activities, bars, and restaurants. We offer a kids’ club, free made-to-order breakfast, and specialty cocktails during our daily evening reception."
Embassy Suites by Hilton,ES,recK7HUdZD07gIqMF,Embassy Suites by Hilton Bogota Rosales,Embassy Suites by Hilton Bogotá Rosales,BOGESES,ready,Steps from shopping in La Zona G,"Our hotel is in the heart of Bogotá’s financial and commercial district. Shops and eateries are within walking distance, and attractions such as Park 93, Bogotá Botanical Garden, and the Gold Museum are within four miles. Enjoy free made-to-order breakfast and our complimentary evening reception."
Embassy Suites by Hilton,ES,recO0tYz62oDVOjW4,Embassy Suites by Hilton Dorado Del Mar Beach Resort,Embassy Suites by Hilton Dorado del Mar Beach Resort,DORPRES,ready,Beachfront leisure on Puerto Rico's coast,"Our secluded beachfront resort is on Puerto Rico's northern coast, overlooking the Atlantic Ocean. We’re two miles from Manuel Morales Beach, and 21 miles from San Juan. Relax in our lagoon-style pool, and enjoy pickleball, bowling, a driving range, or the casino across the street. Join us for free breakfast and complimentary evening receptions."
