appliedAt,censusRecordId,censusName,country,changeType,currentAffiliation,canonicalAffiliation,fieldsJson
2026-07-22T22:40:50.645Z,rect6xTnJsjJyA6Ei,"Radisson Colon 2000 Hotel & Casino",Panama,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:50.902Z,rectlLKZ1wbhYj7md,"Radisson Hotel Paulista Sao Paulo",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:51.173Z,recw2SzhnSQtODy4Y,"Hotel Faranda Express Soloy and Casino, A Member of Radisson Individuals",Panama,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:51.412Z,recw8qQXKshGnAqI0,"Park Inn by Radisson Puerto Varas",Chile,affiliation_normalize,"Park Inn by Choice","Park Inn by Radisson (Choice)","{""Affiliation"":""Park Inn by Radisson (Choice)""}"
2026-07-22T22:40:51.633Z,recwGtRq733LfHvaH,"Radisson Montevideo Victoria Plaza Hotel",Uruguay,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:51.868Z,recwmqTUKqPmsjElm,"Radisson San Jose-Costa Rica",Costa Rica,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:52.110Z,recwrzq0Sq9wUqx42,"Comfort Inn Ciudad Juarez",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:52.355Z,recwvcWrWpiq3kuq9,"Comfort Hotel & Suites Rondonopolis",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:52.580Z,recxeNGJrgFgfGWsY,"Radisson Blu Belo Horizonte",Brazil,affiliation_normalize,"Radisson Blu by Choice","Radisson Blu (Choice)","{""Affiliation"":""Radisson Blu (Choice)""}"
2026-07-22T22:40:52.814Z,recy5vv0a3sGia5Fn,"Radisson Hotel Pinheiros Sao Paulo",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:53.053Z,recyL5evuY45rEV6E,"Comfort Inn San Luis Potosi",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:53.293Z,recywhDndKbSG8pjY,"Radisson RED Funes",Argentina,affiliation_normalize,"Radisson RED by Choice","Radisson RED  (Choice)","{""Affiliation"":""Radisson RED  (Choice)""}"
2026-07-22T23:07:31.193Z,rec1WblO8rnicymJF,"Quality Hotel Pampulha",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:31.441Z,rec2CuHxNh4pLUieN,"Quality Hotel Curitiba",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
