source_record_id,property_name,current_brand,city,lane,intake_class,decision,identity_confidence,human_review_required,production_writable_insert,queue_autopilot_enrichment,reasons,checks_passed
node/11158547600,Los Corales Beach Village Suites,Los Corales Village - Grupo Dos,Unknown,known_brand_census_intake,steward_brand_tag_review,steward_hold,Hold,true,false,false,steward_unresolved_osm_brand_tag,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/11158547601,Las Terrazas Condo Apartment,Los Corales Village - Grupo Dos,Unknown,known_brand_census_intake,steward_brand_tag_review,steward_hold,Hold,true,false,false,steward_unresolved_osm_brand_tag,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/11158547602,Flor del Mar Condo Apartment,Los Corales Village - Grupo Dos,Unknown,known_brand_census_intake,steward_brand_tag_review,steward_hold,Hold,true,false,false,steward_unresolved_osm_brand_tag,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/11158547603,La Piazzetta PREMIUM Suites,Los Corales Village - Grupo Dos,Unknown,known_brand_census_intake,steward_brand_tag_review,steward_hold,Hold,true,false,false,steward_unresolved_osm_brand_tag,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
node/11216277399,"Marriott Miches Beach, An All-Inclusive Resort",Marriott,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/11628073769,Melia caribe beach resort,Meliá,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/12818363772,Holiday Inn Santo Domingo,Holiday Inn,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
node/13081433749,Viva Dominicus Beach by Wyndham,Wyndham,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
way/27956819,Iberostar Waves Punta Cana,Iberostar,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/27956853,Iberostar Waves Dominicana,Iberostar,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/27957139,Hotel Riu Palace Macao,RIU,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/33120922,Hotel Occidental Allegro Playa Dorada,Occidental,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
way/34879211,Barcelo Punta Cana Hotel,Barceló,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
way/53581002,Hotel Riu Bambu,RIU,Punta Cana,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
