legacyRecordId,legacyHotelName,legacyCity,legacyCountry,targetBrand,matchConfidence,matchScore,osmCandidateRecordId,osmName,osmSourceRecordId,distanceMeters,alreadyVerified,duplicateRisk,matchReason
rec6aUiqKl87vRVXG,Emotions All Inclusive Juan Dolio Ascend Hotel Collection,Juan Dolio Beach,Dominican Republic,Ascend Collection,none,0,,,,,no,no,No OSM candidate with sufficient similarity
rec6kARmGoWlSxpJV,Radisson Poliforum Plaza Hotel Leon,León,Mexico,Radisson by Choice,none,51,,,,178923,no,no,No credible OSM match for Choice target
rec6mRuB2thYBcO4L,Comfort Hotel Goiania,Goiania,Brazil,Comfort Inn & Suites,none,59,,,,1006661,no,no,No credible OSM match for Choice target
rec6sVPgm8E8UNHTA,Radisson Hotel Trinidad,Port Of Spain,Trinidad and Tobago,Radisson by Choice,none,0,,,,,no,no,No OSM candidate with sufficient similarity
rec6w6h6tfQUrn2uO,Quality Hotel Vitoria,Vitoria,Brazil,Quality Inn,none,51,,,,1928186,no,no,No credible OSM match for Choice target
rec76YfQ0iJNmqUD9,Sleep Inn Vitoria,Vitoria,Brazil,Sleep Inn,medium,76,reccUZGAh0JBmJ6VQ,Sleep Inn,node/5612824621,5,no,no,"Good name (75%), same country, 5m"
rec7Ny9PfihzkgEGK,Comfort Inn Irapuato,Irapuato,Mexico,Comfort Inn & Suites,low,53,rec71XisRC8mRgOA5,Hampton Inn Irapuato,way/611634852,1545,yes,no,"Partial name/brand match within 1545m, same country"
rec7O9qgI7zbuI7Pk,Comfort Hotel Mogi Guacu,Mogi Guacu,Brazil,Comfort Inn & Suites,none,59,,,,583927,no,no,No credible OSM match for Choice target
rec7bk5veMtcKm8La,Radisson Hotel Curitiba,Curitiba,Brazil,Radisson by Choice,low,63,recTauqpKRCIZ4fWp,Quality Hotel Curitiba,node/2812126510,551,yes,no,"Partial name/brand match within 551m, same country"
rec7tmvg1xxWXQWiP,Clarion Suites Roatan at Pineapple Villas,Honduras,Honduras,Clarion,medium,76,recnbul3aFfsbqnWq,Pineapple Villas,way/1190494545,81,no,no,"Good name (75%), same country, 81m"
rec7wuYYenSfiKwIo,Park Inn Berrini,Sao Paulo,Brazil,Park Inn by Choice,none,0,,,,,no,no,No OSM candidate with sufficient similarity
rec7z5uQ9n5KRxloL,Quality Inn Piedras Negras,Piedras Negras,Mexico,Quality Inn,none,59,,,,1527087,no,no,No credible OSM match for Choice target
rec7zHsAFkU4rgdye,Sleep Inn Culiacan,Culiacan,Mexico,Sleep Inn,high,100,recz7iNa9ohtmKVEu,Sleep Inn Culiacan,node/9683623609,11,no,no,"Strong name (100%), same country, 11m"
rec8CrfZn86Bxs31p,Sleep Inn Queretaro,Queretaro,Mexico,Sleep Inn,none,59,,,,2106303,no,no,No credible OSM match for Choice target
rec8VbiatJup4g2ZI,Radisson Hotel Puerto Varas,Puerto Varas,Chile,Radisson by Choice,none,59,,,,905886,no,no,No credible OSM match for Choice target
rec99PlN1Z4j0pSZj,Radisson Hotel & Convention Center Toluca,Toluca,Mexico,Radisson by Choice,none,51,,,,368084,no,no,No credible OSM match for Choice target
rec9HH2cWyNbQbn1a,Sleep Inn Guarulhos,Guarulhos,Brazil,Sleep Inn,high,100,recJLbQBudDmpfKov,Sleep Inn Guarulhos,node/6507247920,28,yes,no,"Strong name (100%), same country, 28m"
rec9JUj4ObNRgs8JC,Sleep Inn Guadalajara Galerias,Zapopan,Mexico,Sleep Inn,none,59,,,,1874682,no,no,No credible OSM match for Choice target
rec9nG8vcyOmZXJSR,Hotel Chihuahua San Francisco,Chihuahua,Mexico,Quality Inn,none,57,,,,197,no,no,No credible OSM match for Choice target
recABeu9m90R7W5xC,Park Inn by Radisson Mazatlan,Mazatlan,Mexico,Park Inn by Choice,none,51,,,,1355971,no,no,No credible OSM match for Choice target
recAXPslFL4gB6JXi,"Park Inn By Radisson San Jose, Costa Rica",San Jose,Costa Rica,Park Inn by Choice,low,66,recVFl51kUbb9KCgQ,Costa Rica,node/3982523076,1078,no,no,"Partial name/brand match within 1078m, same country"
recB0sjy8eQbw7IkO,"Radisson Hotel Sao Paulo, Pinheiros",São Paulo,Brazil,Radisson by Choice,none,51,,,,1616235,no,no,No credible OSM match for Choice target
recBId5NOA64PCIBO,Quality Inn & Suites Saltillo Eurotel,Saltillo,Mexico,Quality Inn,medium,79,recbUAex3yqmHkkQ7,Quality Inn Eurotel Saltillo,way/96949283,45,no,no,"Good name (80%), same country, 45m"
recBY6pWoJPO5SYYp,Comfort Suites Sao Jose Do Rio Preto,Sao Jose do Rio Preto,Brazil,Comfort Suites,none,59,,,,804118,no,no,No credible OSM match for Choice target
recBqjM7mQgCZIpqh,Comfort Hotel Taguatinga,Taguatinga,Brazil,Comfort Inn & Suites,none,59,,,,966559,no,no,No credible OSM match for Choice target
recC9ZIeByrNob1dw,Quality Hotel St Paul Rio Preto,São José do Rio Preto,Brazil,Quality Inn,none,51,,,,252037,no,no,No credible OSM match for Choice target
recCDEah4N9Ue6zcF,Clarion Hotel San Pedro Sula,San Pedro Sula,Honduras,Clarion,none,57,,,,14,no,no,No credible OSM match for Choice target
recCFOVKqiBIfxfu5,Clarion Hotel Faria Lima,Sao Paulo,Brazil,Clarion,none,51,,,,615106,no,no,No credible OSM match for Choice target
recCZqZoIfrf7MKAZ,Quality Hotel Aracaju,Aracaju,Brazil,Quality Inn,none,51,,,,1555980,no,no,No credible OSM match for Choice target
recCdbhX9YK5Lfo6g,Comfort Inn Delicias,Ciudad Delicias,Mexico,Comfort Inn & Suites,none,51,,,,1039341,no,no,No credible OSM match for Choice target
recCrrLjUcaghScfX,Radisson Hotel Panama Canal,Panama,Panama,Radisson by Choice,high,98,rec3iSlkSdZP8tRJc,Radisson Hotel Panama Canal,way/179076721,10,no,no,"Strong name (100%), same country, 10m"
recCsMQgmbOIyGm7e,Comfort Inn Puebla Centro Historico,Puebla,Mexico,Comfort Inn & Suites,none,51,,,,324142,no,no,No credible OSM match for Choice target
recDLgo6qnMMm44Kr,Radisson Hotel Barra Rio De Janeiro,Rio de Janeiro,Brazil,Radisson by Choice,none,51,,,,783959,no,no,No credible OSM match for Choice target
recDRdpfwuFTi4hJt,El Cid Marina Beach Hotel,Mazatlan,Mexico,Ascend Collection,none,51,,,,599760,no,no,No credible OSM match for Choice target
recE6QDoq1xtuncTD,Radisson Vila Olimpia Sao Paulo,Sao Paulo,Brazil,Radisson by Choice,none,51,,,,2288151,no,no,No credible OSM match for Choice target
recEVAyuUgQqrsAa6,Comfort Inn Monterrey Valle,Monterrey,Mexico,Comfort Inn & Suites,high,98,reczi7gOPUyFStDJV,Comfort Inn Monterrey Valle,node/2643089204,12,no,no,"Strong name (100%), same country, 12m"
recFA6L4WdVoUjeiI,Faranda Collection Bogota A Member Of Radisson Individuals,Bogota,Colombia,Radisson Individuals by Choice,medium,66,recF5iRDjnCBlZXBl,Radisson,node/361325694,707,no,no,"Good name (75%), same country, 707m"
recFODBnRGXiPIhWN,Quality Suites Joao Pessoa,Joao Pessoa,Brazil,Quality Inn,none,0,,,,,no,no,No OSM candidate with sufficient similarity
recFQa1744IMgIisH,Sleep Inn Tijuana,Rio Tijuana,Mexico,Sleep Inn,medium,84,recgnoyAlezFDe243,Sleep Inn,way/701204799,13,no,no,"Good name (75%), same country, 13m"
recFm03giCXiSunLp,Radisson Hotel Diamond Barranquilla,Barranquilla,Colombia,Radisson by Choice,low,77,rec5PKwFujsyL1ZjZ,Park Inn by Radisson Diamond Barranquilla,way/697599811,20,no,no,"Partial name/brand match within 20m, same country"
recFuwaeV12nr5j64,Comfort Hotel Manaus,Manaus,Brazil,Comfort Inn & Suites,medium,76,recNKirWzIleXs8hf,Comfort Hotel,node/1746270783,4,no,no,"Good name (75%), same country, 4m"
recHJi993HTEUWJFV,Ascend Hotel Collection Mas Na at the Groves,Salinas,Puerto Rico,Ascend Collection,none,41,,,,2691082,no,no,Country does not match OSM candidate
recI1Szkt2BtPnsnF,Radisson Cartagena Ocean Pavillion Hotel,Cartagena,Colombia,Radisson by Choice,none,51,,,,932713,no,no,No credible OSM match for Choice target
recIBD6ezsMUAfMg0,Hotel Casa La Factoria by Faranda Boutique a member of Radisson Individuals,Cartagena,Colombia,Radisson Individuals by Choice,none,51,,,,930480,no,no,No credible OSM match for Choice target
recID0aQJjjVchBOp,Faranda Collection Barranquilla a member of Radisson Individuals,Barranquilla,Colombia,Radisson Individuals by Choice,none,51,,,,706207,no,no,No credible OSM match for Choice target
recIkCWtNd1CHHym0,Comfort Inn Cordoba,Cordoba,Mexico,Comfort Inn & Suites,high,100,reccocfAnMJ2bgplu,Comfort Inn Cordoba,node/10004981396,10,no,no,"Strong name (100%), same country, 10m"
recImFmHWCO2hYUZM,Faranda Collection Cali A Member Of Radisson Individuals,Cali,Colombia,Radisson Individuals by Choice,none,51,,,,309742,no,no,No credible OSM match for Choice target
recJG39v9OTcwihy8,Comfort Inn & Suites Levittown,Toa Baja,Puerto Rico,Comfort Inn & Suites,none,41,,,,5754379,no,no,Country does not match OSM candidate
recJHMJ5eeqBvGzBt,Comfort Hotel Franca,Franca,Brazil,Comfort Inn & Suites,none,59,,,,642466,no,no,No credible OSM match for Choice target
recJW1QBKl60HKqDC,Park Plaza Porto Alegre Moinhos de Vento,Porto Alegre,Brazil,Park Plaza by Choice,none,66,,,,150,no,no,No credible OSM match for Choice target
