ownerName,priorityTier,propertyCount,countriesSummary,companyName,matchType,researchStatus,hasCompanyOverview,website,researchAction
BPBI Hotels,B,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Fosun International Ltd,B,1,Mexico,Fosun International Ltd,exact,import_only,false,https://fosun.com,add_costar_profile_screenshot
Grupo Paragon,B,1,Mexico,Paragon Hotel Company,partial,import_only,false,https://phc-hotels.com,add_costar_profile_screenshot
Condado Palm LLC,B,1,Puerto Rico,Palm Holdings,partial,import_only,false,https://palm-holdings.com,add_costar_profile_screenshot
Midtown Equities Brokerage LLC,B,1,Aruba,EQ Group,partial,import_only,false,https://eqgrp.com,add_costar_profile_screenshot
Riu Hotels & Resorts Management,B,1,Aruba,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Fideicomiso Marina View,B,1,Colombia,Rina Group,partial,import_only,false,https://rinagroup.com,add_costar_profile_screenshot
Owner 1: SD (Barbados) ANG II Limited | Owner 2: Royalton Hotels & Resorts,B,1,Antigua and Barbuda,Royalton Hotels & Resorts,exact,import_only,false,https://royaltonresorts.com,add_costar_profile_screenshot
Shanghai Club Med Holidays Travel Agency Co Ltd,B,1,Dominican Republic,Shanghai Club Med Holidays Travel Agency Co Ltd,exact,import_only,false,https://corporate.clubmed,add_costar_profile_screenshot
Mint Hotels & Residences,B,1,Dominican Republic,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Atlantica Hotels Int (Brasil) Ltda - Hilton Gar...,C,1,Brazil,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Braemar Hotels & Resorts,C,1,US Virgin Islands,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Hoposa Hotels - Grupo Hotelera Pollensina,C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
"Owner 1: Aspemir | Owner 2: Melia Hotels International, S.A",C,1,Dominican Republic,"Melia Hotels International, S.A",exact,import_only,false,https://meliahotelsinternational.com,add_costar_profile_screenshot
Owner 1: Gafisa S.A. | Owner 2: JHSF,C,1,Brazil,JHSF,exact,import_only,false,https://jhsf.com.br,add_costar_profile_screenshot
Cayman Overseas Group Ltd.,C,1,Cayman Islands,Cayman Group,partial,import_only,false,https://caymangroup.eu,add_costar_profile_screenshot
Superior Hotels Trinidad & Tobago Limited,C,1,Trinidad,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Qviva Resorts,C,1,Costa Rica,Qviva Resorts,exact,profile_partial,false,https://qvivaresorts.com,complete_company_overview
Owner 1: Rocca Portafolio Comercial SA | Owner 2: ROCCA Development Group,C,1,Costa Rica,ROCCA Development Group,exact,profile_partial,false,https://roccacr.com,complete_company_overview
Owner 1: Tabacalera Palma | Owner 2: Gizeh Constructora SRL,C,1,Dominican Republic,Palm Holdings,partial,import_only,false,https://palm-holdings.com,add_costar_profile_screenshot
LaTour Hotels & Resorts,C,1,Sint Maarten (Dutch part),LaTour Hotels & Resorts,exact,import_only,false,https://latourgroup.com,add_costar_profile_screenshot
Atlantica Hotels Int (Brasil) Ltda - Sleep Inn ...,C,1,Brazil,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
"Suriname Caribbean Partners, N.V.",C,1,Suriname,Rina Group,partial,import_only,false,https://rinagroup.com,add_costar_profile_screenshot
Palm Reef Hotel Development Company,C,1,Trinidad,Palm Holdings,partial,import_only,false,https://palm-holdings.com,add_costar_profile_screenshot
Fidecomiso Mercantil Hotel Aeropuerto,C,1,Ecuador,Mercan Group,partial,import_only,false,https://mercan.com,add_costar_profile_screenshot
Warwick Hotels and Resorts,C,1,Bahamas,Warwick Hotels and Resorts,exact,import_only,false,https://warwickhotels.com,add_costar_profile_screenshot
Highgate Hotels L.P.,C,1,Guyana,Highgate Hotels L.P.,exact,import_only,false,https://highgate.com,add_costar_profile_screenshot
Oro Verde Hotels,C,1,Ecuador,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Evenia Hotels,C,1,Panama,Evenia Hotels,exact,import_only,false,https://eveniahotels.com,add_costar_profile_screenshot
Owner 1: The King Jin Group | Owner 2: Cardinal Investments Inc.,C,1,Guyana,KiN Group,partial,import_only,false,https://kinhotel.com,add_costar_profile_screenshot
CPM PARTICIPAÇÕES,C,1,Brazil,CP Group,partial,import_only,false,https://cpghotels.com,add_costar_profile_screenshot
The Regent Star Hotel Limited,C,1,Trinidad,Star Group,partial,import_only,false,https://starhotels.com.au,add_costar_profile_screenshot
