recordId,name,parentCompany,status,country
recmaVsMEc29vpSpd,"Hotel Plaza Luar","(blank parent)",Open,Mexico
recmaaqRvAxPVFTs6,"Selina Aurora Sao Paulo","Selina Management Panama, S.A.",Open,Brazil
recmahE7i1Pmeotaq,"Hotel Caiuá Lago Umuarama","(blank parent)",Open,Brazil
recmb1oP0m9YF5C1F,"Tru by Hilton Neuquen","Hilton Worldwide",Pipeline,Argentina
recmbBQxwAhDvIoO5,"Hostal Terranova","(blank parent)",Open,Peru
recmbIMor4MVVosBH,"Hotel Amsterdam","(blank parent)",Open,Argentina
recmbkmgKJ65CMbYB,"Casa Conde Hotel & Suites","(blank parent)",Open,Costa Rica
recmcHhjb7XDYFvhS,"Hotel Yamba","(blank parent)",Open,Mexico
recmcOJXZMEd11WI1,"Hotel Ballabou","(blank parent)",Open,French Guiana
recmclkYzXChjFcBg,"Blue Tree Towers Analia Franco","Blue Tree Hotels & Resorts do Brasil S/A",Open,Brazil
recmcmAyU36gAhbjt,"The Opus Hotel","(blank parent)",Open,Guyana
recmd5DMuCGdntCzk,"De La Costa Hotel","(blank parent)",Open,Paraguay
recmdKY4r7zSXrOqR,"El Greco Resort","(blank parent)",Open,Jamaica
recmdLBYAdwPBio4j,"Juma Amazon Lodge","(blank parent)",Open,Brazil
recmdawai36E2EElo,"Hostal Solari","(blank parent)",Open,Peru
recmdjP5vkJwFQqlC,"Grand Velas Los Cabos","(blank parent)",Open,Mexico
recmdlEWQ0eAFsFCo,"Shehuen Hotel","(blank parent)",Open,Argentina
recmdy0wLDSH0eXVl,"Paradores Villa Antonio","(blank parent)",Open,Puerto Rico
recmeBG7WOxbqAraK,"5411 Soho Hotel Boutique","(blank parent)",Open,Argentina
recmeUFkagbLX6I3l,"Caribbean Paradise Resort","(blank parent)",Open,Mexico
recmeYIJNTDrxG0gU,"Village Hotel","(blank parent)",Open,Brazil
recmeb9RyxVrbhxU2,"ibis Styles Palmas","AccorHotels",Open,Brazil
recmeh7w7mtk7Q5Yv,"Holiday Inn Guadalajara Aeropuerto","IHG Hotels & Resorts",Pipeline,Mexico
recmexUknfdiiWhwr,"Dolphin Suites & Wellness","(blank parent)",Open,Curaçao
recmfD2tzQOMvdL1X,"The Paragon Hotel Mexico City Santa Fe","(blank parent)",Open,Mexico
recmfdHeEfG6fdzqI,"Meson Del Alfarero Hotel","(blank parent)",Open,Mexico
recmgHDyxATK876US,"RQ Stay Santa Magdalena","(blank parent)",Open,Chile
recmgIBAg6WebT7zP,"Coral Paradise Resort","(blank parent)",Open,Bonaire, Sint Eustatius and Saba
recmgaHnY3VZfDSzF,"Terra Luna Patagonia","(blank parent)",Open,Chile
recmgyPdJ1mAwEqn5,"Hotel La Finca Del Minero","(blank parent)",Open,Mexico
recmhTsOVtgK2L0PX,"Butterfly Beach Hotel","(blank parent)",Open,Barbados
recmhwTEU8TCvmeqB,"Poramba Hostel","(blank parent)",Open,Argentina
recmiGpUQaaQyG8K6,"Grand View Inn","(blank parent)",Open,Grenada
recmiQlTfWKYuN2M3,"Hotel Torre Norte","(blank parent)",Open,Peru
recmiZRVNRSMhFFxk,"Casa Anita & Corona Del Mar Resort","(blank parent)",Open,Mexico
recmib0C794c0qzw3,"Hotel Recreo","(blank parent)",Open,Peru
