status,recordId,name,country,city,currentSubmarket,strRegional,proposedSubmarket,confidence,source,reason
ready,recqQpySpfeBGtDPu,Slim Guarapuava,Brazil,Guarapuava,Brazil South Regional,yes,Florianópolis,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recqRmWy1oBAKYnu7,Vinecap Hotel,Brazil,Bento Goncalves,Bento Goncalves,no,Florianópolis,Low,census_str_submarket_alias,market_to_corridor
ready,recqRqKu8jUQq0JrT,Hotel Ejecutivo,Mexico,Ciudad Del Carmen,Ciudad Del Carmen,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqScKWICGFy11tr,Ibis Taubate,Brazil,Taubate,São Paulo State Regional,yes,São Paulo,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recqTX0B4I1GltnhK,Casona 61 by GuruHotel,Mexico,Mérida,Mérida,no,Mérida / Yucatán,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqTsLQ7rHFO1679,Amhsa Casa Marina Beach,Dominican Republic,Puerto Plata,Puerto Plata,no,Puerto Plata / Sosúa / Cabarete,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqUIrQn4wvNBJN6,Hotel Sollentuna Hem,Nicaragua,Jinotega,Jinotega,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqUW2ibIxkZkGcr,Sausalito Beach,Peru,Mancora,Mancora,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqUtgFmmyTkoH6d,Marin's Guest House,Belize,Caye Caulker,Caye Caulker,no,Belize City,Low,census_str_submarket_alias,market_to_corridor
ready,recqVSRqmQFuxjBUC,Four Points by Sheraton Saltillo,Mexico,Saltillo,Saltillo,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqVShVkV7WX6OmR,SAFI Royal Luxury Valle Hotel,Mexico,San Pedro Garza Garcia,San Pedro Garza Garcia,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqVT1K40lA8vReY,Nayara Hangaroa Easter Island,Chile,Easter Island,Chile Regional,yes,Other,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recqVg6IoKtl708S7,Hotel Mary Y Sol,Mexico,Rincon De Guayabitos,Rincon De Guayabitos,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqW4g4LGNvnovrq,Hampton Inn by Hilton Leon Guanajuato,Mexico,Leon,Leon,no,Guanajuato,Low,census_str_submarket_alias,name_to_corridor
ready,recqW8Naisepl1rei,Hotel Villas Coral,Mexico,Huatulco,Huatulco,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqWSnBnbszPkjEH,El Nakuti Resort,Costa Rica,Liberia,Liberia,no,Guanacaste / Papagayo,High,dealality_city_corridor_map,exact_city_map
ready,recqXF1pkaVpjEr2d,Hotel Monaco,Brazil,Guarulhos,Guarulhos,no,Guarulhos / Airport Corridor,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqXHoN9ehEgAu6u,Hotel Suites Del Sol,Mexico,Puerto Vallarta,Puerto Vallarta,no,Puerto Vallarta / Riviera Nayarit,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqXqY7BwTCybMVT,Ladera Hotel Santiago,Chile,Santiago,Santiago,no,Santiago Centro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqXwhopsZjw45P5,City Express by Marriott Plus Mérida Siglo XXI,Mexico,Mérida,Mérida,no,Mérida / Yucatán,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqXx52oMOlqh4dP,Shamana,Peru,Iquitos,Iquitos,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqYJhF2tQ4MS8Xo,Ermita Cartagena A Tribute Portfolio Hotel,Colombia,Cartagena,Centro Historico,no,Cartagena,High,dealality_city_corridor_map,exact_city_map
ready,recqYSyQtGP2bCxG7,Hampton Inn by Hilton San Juan Hato Rey,Puerto Rico,San Juan,San Juan,no,San Juan Metro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqZ2bA1qtVHMPOT,ibis budget Copiapo,Chile,Copiapo,Atacama Regional,yes,Atacama,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recqZ94s0w6I9remf,Casa Hotel Villa Cristina,Colombia,Villa De Leyva,Villa De Leyva,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqZObAINhIHZwLO,Hotel Verony Guatape,Colombia,Guatape,Guatape,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqZguXuoawWzPGV,Estanplaza International,Brazil,Sao Paulo,Congonhas/Morumbi/Nacoes Unidas,no,São Paulo,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recqZnyi0ephdCHng,Hotel City Plaza & Suites,Panama,David,David,no,Boquete / Highlands,Medium,dealality_city_corridor_map,exact_city_map
ready,recqa5VRiqH8a0LSp,Los Cuatro Vientos Hotel,Mexico,Puerto Vallarta,Puerto Vallarta,no,Puerto Vallarta / Riviera Nayarit,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqbW0mZTDHjyW3C,Amazon Eco Tours & Lodge,Peru,Iquitos,Iquitos,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqcFzBanMm4JnLJ,Hotel Pluviosilla,Mexico,Orizaba,Orizaba,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqcbiUMkTYInJjf,OSH Hotel Getsemani,Colombia,Cartagena de Indias,Cartagena de Indias,no,Cartagena,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqckyRIHRPfztg1,Hosteria El Arbol Duende,Argentina,San Martin de Los Andes,San Martin de Los Andes,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqd8IT2GiQbTlYt,Hotel San Jose,Nicaragua,Chinandega,Chinandega,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqdHPuNi8KiyWDF,Tierra Del Sol Resort,Aruba,Dutch Caribbean,Dutch Caribbean,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqdKEjDfaU54zXu,Hotel Kundalini Montanita Beach,Ecuador,Montanita,Montanita,no,Other,Low,census_str_submarket_alias,market_to_corridor
ready,recqdMUIFvpOxfMXb,Raf Hotel By Nobile,Brazil,Umuarama,Umuarama,no,Florianópolis,Low,census_str_submarket_alias,market_to_corridor
ready,recqe6DictDLMwe5V,InterCity Shopping Gravatai,Brazil,Gravatai,Gravatai,no,Florianópolis,Low,census_str_submarket_alias,market_to_corridor
ready,recqetBMpvnYzFWEK,Los Arcos Hotel,Mexico,La Paz,La Paz,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqf8EkyxrqOBg3X,Royal Hotel,Brazil,Florianopolis,Florianopolis,no,Florianópolis,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recqfgw9vExxFVl5p,Calypso Hotel Cancun,Mexico,Cancun,Cancun,no,Cancún Hotel Zone,Medium,dealality_city_corridor_map,exact_city_map
ready,recqgkcUqnV12lCmo,Ibis Navegantes Itajai,Brazil,Itajai,Brazil South Regional,yes,Florianópolis,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recqhbaDo56tEpdeZ,Hotel Senorial,Mexico,Queretaro,Queretaro,no,Querétaro,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recqiB3dYCHshhzcv,Hotel Gaudi,Uruguay,Punta Del Este,Punta Del Este,no,Punta del Este,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqiIlimEZEpEyXc,Casa Grande Bambito,Panama,Bambito,Bambito,no,Panama City,Low,census_str_submarket_alias,market_to_corridor
ready,recqian7b5AML2p5m,Ramada Encore by Wyndham Sao Paulo Tiradentes,Brazil,Sao Paulo,Centre/Anhembi/Higienopolis/Tatuape,no,São Paulo,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recqj1ENw98sWbYXB,Penon Del Lago Lodge & Spa,Argentina,San Carlos de Bariloche,San Carlos de Bariloche,no,Bariloche,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqjDbexZn4TCKEc,Sandos Caracol Eco Resort & Spa,Mexico,Playa Del Carmen,Playa Del Carmen,no,Riviera Maya / Playa del Carmen,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqjKt6MSUdEoo0t,Comfort Serra da Canastra,Brazil,Sao Joao Batista do Gloria,Brazil Southeast Regional,yes,Other,Low,census_str_regional_other,str_regional_fallback_other
ready,recqk0na3nkyf4iCs,La Casa Que Canta,Mexico,Zihuatanejo,Zihuatanejo,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqk9TkhvKYsyYaA,Charo's Hostal,Ecuador,Montanita,Montanita,no,Other,Low,census_str_submarket_alias,market_to_corridor
ready,recqkHoj2iwAH0aTE,Discovery Bay By Rex Resorts,Barbados,Holetown,Holetown,no,Bridgetown,Low,census_str_submarket_alias,market_to_corridor
ready,recqkNxcVVH1f7nDm,Rockley Resort & Beach,Barbados,Christ Church,Christ Church,no,Bridgetown,Low,census_str_submarket_alias,market_to_corridor
ready,recqkzzI2PMTMIYdj,Hotel Alameda,Chile,Santiago,Santiago,no,Santiago Centro,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqlFQ3KgL4oUkHu,Casa Inn Queretaro,Mexico,El Marques,El Marques,no,Querétaro,Low,census_str_submarket_alias,name_to_corridor
ready,recqlLgnAr9ohLpgC,Hotel Intercity Florianópolis,Brazil,Florianopolis,Florianopolis,no,Florianópolis,Medium,dealality_keyword_corridor_map,exact_city_submarket_label
ready,recqlR2J3TjmAlgKL,Hotel Atlántico Suites,Argentina,Mar Del Plata,Mar Del Plata,no,Mar del Plata,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqllGCU9XFdJ6ev,Hotel Taj Mahal,Mexico,Los Mochis,Los Mochis,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqmMWASyc2CsHeQ,Hotel Boutique Raices,Chile,Curico,Curico,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqmPXRLsjGINXbj,Manati Barra Grande,Brazil,Praia,Praia,no,Salvador,Low,census_str_submarket_alias,market_to_corridor
ready,recqmcUVlG5Ra5ync,Hotel Ceballos,Mexico,Colima,Colima,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqmwq35icWflcQ1,Hotel Rancho De La Playa,Dominican Republic,Puerto Plata,Puerto Plata,no,Puerto Plata / Sosúa / Cabarete,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqn0u3bnj5Y1IH9,Torreblanca Suites,Mexico,Rincon De Guayabitos,Rincon De Guayabitos,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqn5DUnQW8cfFZE,Dreams I Grand Island Cancun,Mexico,Cancún,Cancún,no,Cancún Airport Corridor,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqokZsiXVJ9sUIK,Waira Suites Hotel,Colombia,Leticia,Leticia,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqouKyUuj4ClSvO,Hotel Vidasoul,Mexico,Boca De La Vinorama,Boca De La Vinorama,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqptY1nmRhfIGfs,Collection O Hotel Mocambo,Mexico,Boca del Rio,Boca Del Rio & Veracruz,no,Veracruz,Medium,dealality_str_submarket_normalized,str_submarket_normalized_to_corridor
ready,recqqF4Ugwhppg0pz,El Otro Lado,Panama,Portobelo,Portobelo,no,Panama City,Low,census_str_submarket_alias,market_to_corridor
ready,recqqGEyn9g0dJB6U,Tom's Hotel,Belize,Caye Caulker,Caye Caulker,no,Belize City,Low,census_str_submarket_alias,market_to_corridor
ready,recqr5akYZXwJAxwF,Aragon Motel,Mexico,Tijuana,Tijuana,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqskscY3NSgEfZq,City Express by Marriott Piedras Negras,Mexico,Piedras Negras,Coahuila & Monterrey Regional,yes,Monterrey,Medium,census_str_submarket_alias,str_submarket_alias_map
ready,recqtCMA1MhhlBwoF,Porto Do Sol Hotel,Brazil,Vitória,Vitória,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqtZ6F077PuBoGN,Popeye's Beach Resort,Belize,Caye Caulker,Caye Caulker,no,Belize City,Low,census_str_submarket_alias,market_to_corridor
ready,recquYwtYVcexXJsk,Maria Cristina,Mexico,San Luis Potosí,San Luis Potosí,no,Other,Low,dealality_keyword_corridor_map,unmapped_fallback_other
ready,recqujxp1wUT0oe7I,Hyatt Ziva Riviera Cancun,Mexico,Puerto Morelos,Puerto Morelos/Playa Maroma,no,Cancún Hotel Zone,Low,census_str_submarket_alias,name_to_corridor
