action,recordId,strId,sourceFile,rowNumber,fieldsUpdated,notes
updated,rechLUbrFSZGwMR59,231953,"Existing - Caribbean, South and Central America.xls:91",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Santander Regional"",""city"":""Barrancabermeja"",""country"":""Colombia"",""name"":""GHL Style Barrancabermeja""}"
updated,rec97q3JE6Kyg5gAg,286089,"Existing - Caribbean, South and Central America.xls:92",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Barranquilla Marriott Hotel""}"
updated,rec56Y6AMDywsUFca,233907,"Existing - Caribbean, South and Central America.xls:93",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Crowne Plaza Barranquilla""}"
updated,recKMPEah34Z3E3d6,208651,"Existing - Caribbean, South and Central America.xls:94",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Estelar Apartamentos Barranquilla""}"
updated,reccOJ4UXNJKf8Ug8,213475,"Existing - Caribbean, South and Central America.xls:96",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Four Points by Sheraton Barranquilla""}"
updated,rechNXduLvF7pljBH,188700,"Existing - Caribbean, South and Central America.xls:97",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""GHL Grand Hotel Barranquilla""}"
updated,recTh8yjp8TKdigcP,208183,"Existing - Caribbean, South and Central America.xls:98",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Hampton by Hilton Barranquilla""}"
updated,rec638CLFce8kSs5U,217743,"Existing - Caribbean, South and Central America.xls:99",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Hilton Garden Inn Barranquilla""}"
updated,recOlBPKzAFCmSp65,228411,"Existing - Caribbean, South and Central America.xls:100",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Holiday Inn Express Barranquilla Buenavista""}"
updated,recWwzUVwptbNaEAw,235254,"Existing - Caribbean, South and Central America.xls:101",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Hotel bh Barranquilla""}"
updated,recItvefK84fOw2zn,208650,"Existing - Caribbean, South and Central America.xls:102",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Hotel ESTELAR Alto Prado""}"
updated,recwy9c6tt86JpPyu,252357,"Existing - Caribbean, South and Central America.xls:105",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""ibis Barranquilla""}"
updated,rec3S2wpI6SLZfCg8,268364,"Existing - Caribbean, South and Central America.xls:106",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""ibis budget Barranquilla""}"
updated,recMowMoUompTVHWd,236296,"Existing - Caribbean, South and Central America.xls:107",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Movich Buro 51""}"
updated,recP6eaIIWLBD9d5q,225375,"Existing - Caribbean, South and Central America.xls:108",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""NH Collection Barranquilla Smartsuites Royal""}"
updated,recFm03giCXiSunLp,226002,"Existing - Caribbean, South and Central America.xls:109",,Market; Submarket; city; country; name,"{""Market"":""Colombia Provincial"",""Submarket"":""Barranquilla"",""city"":""Barranquilla"",""country"":""Colombia"",""name"":""Radisson Hotel Diamond Barranquilla""}"
updated,rectGS8M85fCvRFCS,211067,"Existing - Caribbean, South and Central America.xls:112",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Barretos"",""country"":""Brazil"",""name"":""ibis Barretos""}"
updated,receUuFnrJjhJfBY4,306853,"Existing - Caribbean, South and Central America.xls:113",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Barretos"",""country"":""Brazil"",""name"":""ibis Styles Barretos""}"
updated,recbieQkgtAXd4eM6,229552,"Existing - Caribbean, South and Central America.xls:114",,Market; Submarket; city; country; name,"{""Market"":""Santiago"",""Submarket"":""Santiago Centre"",""city"":""Barrio Lastarria"",""country"":""Chile"",""name"":""Luciano K""}"
updated,recbKA0IizwPkKxaW,230510,"Existing - Caribbean, South and Central America.xls:115",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Barueri"",""country"":""Brazil"",""name"":""Blue Tree Premium Alphaville""}"
updated,recguCs8MkHILsbxx,135742,"Existing - Caribbean, South and Central America.xls:116",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Barueri"",""country"":""Brazil"",""name"":""Comfort Suites Alphaville""}"
updated,recDZQdGbPE08JTuo,149756,"Existing - Caribbean, South and Central America.xls:117",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Barueri"",""country"":""Brazil"",""name"":""ibis budget Tambore""}"
updated,recIDOC1TbegcxwCX,140769,"Existing - Caribbean, South and Central America.xls:118",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Barueri"",""country"":""Brazil"",""name"":""Ibis Tambore""}"
updated,recuPczqHC2srskUK,134214,"Existing - Caribbean, South and Central America.xls:119",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Barueri"",""country"":""Brazil"",""name"":""Quality Suites Alphaville""}"
updated,recnFNZ4jy7thvcwZ,128041,"Existing - Caribbean, South and Central America.xls:122",,Market; Submarket; city; country; name,"{""Market"":""Brazil Southeast"",""Submarket"":""São Paulo State Regional"",""city"":""Bauru"",""country"":""Brazil"",""name"":""Blue Tree Garden Bauru""}"
