appliedAt,censusRecordId,censusName,propertyId,propertyUrl,matchScore,nameSim,confidence,source
2026-07-06T08:27:53.819Z,recwrzq0Sq9wUqx42,"Comfort Inn Ciudad Juarez",MX109,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,88,1,high,choice_regional_enrichment
2026-07-06T08:27:54.228Z,recakkvS0m4qRy76s,"Comfort Inn Queretaro",MX226,https://www.choicehotels.com/queretaro/queretaro/comfort-inn-hotels/mx226,78,0.75,high,choice_regional_enrichment
2026-07-06T08:27:54.676Z,recBId5NOA64PCIBO,"Quality Inn & Suites Saltillo Eurotel",MX070,https://www.choicehotels.com/coahuila/saltillo/quality-inn-hotels/mx070,78,0.75,high,choice_regional_enrichment
2026-07-06T08:27:55.075Z,rec1E6GwQPkcYgLzo,"Sleep Inn Torreon",MX065,https://www.choicehotels.com/coahuila/torreon/sleep-inn-hotels/mx065,78,0.75,high,choice_regional_enrichment
2026-07-06T08:27:55.489Z,rechzUcoFTnygeEwK,"Sleep Inn Villahermosa",MX107,https://www.choicehotels.com/tabasco/villahermosa/sleep-inn-hotels/mx107,78,0.75,high,choice_regional_enrichment
2026-07-06T08:27:55.916Z,rec5FTPBwWJrS7KRF,"Quality Hotel Faria Lima",BR033,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br033,88,1,high,choice_regional_enrichment
2026-07-06T08:27:56.453Z,rec1WblO8rnicymJF,"Quality Hotel Pampulha",BR110,https://www.choicehotels.com/minas-gerais/belo-horizonte/quality-inn-hotels/br110,88,1,high,choice_regional_enrichment
2026-07-06T08:27:56.839Z,recrPx45Dd2EMY3TH,"Radisson Hotel Maiorana Belem",BR155,https://www.choicehotels.com/para/belem/radisson-hotels/br155,88,1,high,choice_regional_enrichment
2026-07-06T08:27:57.244Z,rec7wuYYenSfiKwIo,"Park Inn Berrini",BR156,https://www.choicehotels.com/sao-paulo/cidade-moncoes/park-inn-hotels/br156,88,1,high,choice_regional_enrichment
2026-07-06T08:27:57.648Z,recak8mGBPSSEBswK,"Quality Suites Vila Velha",BR036,https://www.choicehotels.com/espirito-santo/vila-velha/quality-inn-hotels/br036,88,1,high,choice_regional_enrichment
2026-07-06T08:27:58.068Z,recwvcWrWpiq3kuq9,"Comfort Hotel & Suites Rondonopolis",BR113,https://www.choicehotels.com/mato-grosso/rondonopolis/comfort-inn-hotels/br113,88,1,high,choice_regional_enrichment
2026-07-06T08:27:58.470Z,recfyYM0Axiz3Gwe8,"Radisson RED Campinas",BR157,https://www.choicehotels.com/sao-paulo/campinas/radisson-red-hotels/br157,88,1,high,choice_regional_enrichment
2026-07-06T08:27:58.879Z,reckVsfRC9Uu7gUUH,"Comfort Hotel Bauru",BR114,https://www.choicehotels.com/sao-paulo/bauru/comfort-inn-hotels/br114,88,1,high,choice_regional_enrichment
2026-07-06T08:27:59.281Z,rec7bk5veMtcKm8La,"Radisson Hotel Curitiba",BR158,https://www.choicehotels.com/parana/curitiba/radisson-hotels/br158,88,1,high,choice_regional_enrichment
2026-07-06T08:27:59.717Z,recsyaMGAIQQuvOI3,"Comfort Suites Vitoria",BR115,https://www.choicehotels.com/espirito-santo/vitoria/comfort-suites-hotels/br115,88,1,high,choice_regional_enrichment
2026-07-06T08:28:00.148Z,recPdupuEa1xekFdu,"Comfort Hotel Santos",BR117,https://www.choicehotels.com/sao-paulo/santos/comfort-inn-hotels/br117,88,1,high,choice_regional_enrichment
2026-07-06T08:28:00.562Z,recFuwaeV12nr5j64,"Comfort Hotel Manaus",BR083,https://www.choicehotels.com/amazonas/manaus/comfort-inn-hotels/br083,88,1,high,choice_regional_enrichment
2026-07-06T08:28:01.000Z,recJuVUstMrQOH8lv,"Radisson Hotel Oscar Freire",BR160,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-hotels/br160,88,1,high,choice_regional_enrichment
2026-07-06T08:28:01.394Z,rec5loLpOWwfXL9ua,"Sleep Inn Manaus",BR085,https://www.choicehotels.com/amazonas/manaus/sleep-inn-hotels/br085,88,1,high,choice_regional_enrichment
2026-07-06T08:28:01.831Z,rectlLKZ1wbhYj7md,"Radisson Hotel Paulista Sao Paulo",BR163,https://www.choicehotels.com/sao-paulo/jardins/radisson-hotels/br163,88,1,high,choice_regional_enrichment
2026-07-06T08:28:02.257Z,recJW1QBKl60HKqDC,"Park Plaza Porto Alegre Moinhos de Vento",BR164,https://www.choicehotels.com/rio-grande-do-sul/porto-alegre/park-plaza-hotels/br164,88,1,high,choice_regional_enrichment
2026-07-06T08:28:02.636Z,recuPczqHC2srskUK,"Quality Suites Alphaville",BR008,https://www.choicehotels.com/sao-paulo/barueri/quality-inn-hotels/br008,88,1,high,choice_regional_enrichment
2026-07-06T08:28:03.056Z,rec9HH2cWyNbQbn1a,"Sleep Inn Guarulhos",BR129,https://www.choicehotels.com/sao-paulo/guarulhos/sleep-inn-hotels/br129,88,1,high,choice_regional_enrichment
2026-07-06T08:28:03.525Z,recKaE1DQ7B9NbGTy,"Quality Suites Oscar Freire",BR009,https://www.choicehotels.com/sao-paulo/sao-paulo/quality-inn-hotels/br009,88,1,high,choice_regional_enrichment
2026-07-06T08:28:03.910Z,recssgUodOjS9owNf,"Quality Hotel Rio de Janeiro - Barra da Tijuca",BR121,https://www.choicehotels.com/rio-de-janeiro/rio-de-janeiro/quality-inn-hotels/br121,88,1,high,choice_regional_enrichment
2026-07-06T08:28:04.364Z,rec6mRuB2thYBcO4L,"Comfort Hotel Goiania",BR089,https://www.choicehotels.com/goias/goiania/comfort-inn-hotels/br089,88,1,high,choice_regional_enrichment
2026-07-06T08:28:04.756Z,rec76YfQ0iJNmqUD9,"Sleep Inn Vitoria",BR122,https://www.choicehotels.com/espirito-santo/vitoria/sleep-inn-hotels/br122,88,1,high,choice_regional_enrichment
2026-07-06T08:28:05.189Z,recetmfWRpItxC3HM,"Comfort Suites Flamboyant",BR046,https://www.choicehotels.com/goias/goiania/comfort-suites-hotels/br046,88,1,high,choice_regional_enrichment
2026-07-06T08:28:05.657Z,recQ33UuRCjytmL54,"Radisson Blu Sao Paulo",BR167,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-blu-hotels/br167,88,1,high,choice_regional_enrichment
2026-07-06T08:28:06.057Z,recE6QDoq1xtuncTD,"Radisson Vila Olimpia Sao Paulo",BR168,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-hotels/br168,88,1,high,choice_regional_enrichment
2026-07-06T08:28:06.497Z,recvyJN4aD5Gh4yXJ,"Quality Hotel Sao Caetano",BR125,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/quality-inn-hotels/br125,88,1,high,choice_regional_enrichment
2026-07-06T08:28:06.969Z,recmUIsMtSQstxOe5,"Radisson Hotel Anapolis",BR169,https://www.choicehotels.com/goias/anapolis/radisson-hotels/br169,88,1,high,choice_regional_enrichment
2026-07-06T08:28:07.410Z,recn3JrmcYAy2cMC8,"Comfort Suites Brasilia",BR049,https://www.choicehotels.com/distrito-federal/brasilia/comfort-suites-hotels/br049,88,1,high,choice_regional_enrichment
2026-07-06T08:28:07.832Z,rec0EpqT5eOpSeqle,"Comfort Hotel Sao Caetano",BR126,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/comfort-inn-hotels/br126,88,1,high,choice_regional_enrichment
2026-07-06T08:28:08.220Z,recazBNxPazCs8y7a,"Quality Hotel Goiania",BR127,https://www.choicehotels.com/goias/goiania/quality-inn-hotels/br127,88,1,high,choice_regional_enrichment
2026-07-06T08:28:08.601Z,recVCFNAE867smKyT,"Comfort Hotel Ibirapuera",BR050,https://www.choicehotels.com/sao-paulo/sao-paulo/comfort-inn-hotels/br050,88,1,high,choice_regional_enrichment
2026-07-06T08:28:09.017Z,recdMCXtrk9IeKyzi,"Quality Hotel Jundiai",BR094,https://www.choicehotels.com/sao-paulo/jundiai/quality-inn-hotels/br094,88,1,high,choice_regional_enrichment
2026-07-06T08:28:09.405Z,reckVbvXmaRgUR0I7,"Comfort Hotel Araraquara",BR095,https://www.choicehotels.com/sao-paulo/araraquara/comfort-inn-hotels/br095,88,1,high,choice_regional_enrichment
