evidenceName,wikidataQid,osmSourceRecordId,osmCandidateName,stagingRecordId,matchConfidence,matchScore,matchReason,wouldWrite
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414801|way/142306646,Q111414801,way/142306646,Hotel Riu Palace Punta Cana,reckU9zfnI2Gt0UKT,high,117,name=1.00; city; geo=147m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414807|relation/1922795,Q111414807,relation/1922795,Hotel Riu Palace Bavaro,recf0ix5UJsuyNtYP,high,117,name=1.00; city; geo=174m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414804|way/53581002,Q111414804,way/53581002,Hotel Riu Bambu,recnz3SIPqTXIXXlc,high,105,name=1.00; city; geo=263m; website,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414805|way/142306645,Q111414805,way/142306645,Hotel Riu Naiboa,recK9FMXgzNIM5Mfi,high,92,name=1.00; city; geo=98m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414817|node/12998607201,Q111414817,node/12998607201,Impressive Punta Cana - All Inclusive,rec0bnhmBBccd6UCB,high,75,name=0.75; geo=53m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414822|way/233446403,Q111414822,way/233446403,Hodelpa Gran Almirante,recSSMLwPOka3fvTm,high,90,name=1.00; geo=42m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414834|way/378375761,Q111414834,way/378375761,Holiday Inn,recI41XdtXlVf7ziU,high,90,name=0.75; city; geo=31m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414832|way/359598125,Q111414832,way/359598125,JW Marriott Santo Domingo,rec7ucMafuU8K6pHQ,high,90,name=0.80; city; geo=45m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414838|way/379027094,Q111414838,way/379027094,Hotel BQ;Vent W&P Santo Domingo,recQnihApwucfB5w6,high,75,name=0.75; geo=46m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414836|node/3216771022,Q111414836,node/3216771022,Radisson Hotel Santo Domingo,recEwDkaiOJjQVloi,high,90,name=1.00; geo=29m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414837|node/3681551947,Q111414837,node/3681551947,Embassy Suites by Hilton,recxs2xZCZVl6Xdsm,high,75,name=0.75; geo=43m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414843|way/177332376,Q111414843,way/177332376,Crowne Plaza,recD73GrVBSto0NoS,high,75,name=0.75; geo=62m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414841|way/153864150,Q111414841,way/153864150,Hotel Barceló Santo Domingo,recf5x3w91FQ13kcp,high,75,name=0.78; geo=38m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111414845|way/406664905,Q111414845,way/406664905,Hotel Palacio,recmNLKZ7WkuryYdv,high,75,name=0.75; geo=26m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884767|node/9566324244,Q111884767,node/9566324244,Las Puertas Del Paraiso,recgwyyEyu2pcd9xG,high,90,name=1.00; geo=46m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884764|node/2020735712,Q111884764,node/2020735712,Hotel Gran Jimenoa,rec9XLQ4Gzfw2W1EG,high,90,name=1.00; geo=40m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884771|node/2966028861,Q111884771,node/2966028861,Hotel Alegria,recWTiwpEGsMa5Ckc,high,90,name=1.00; geo=61m,yes
4A|osm-wikidata-dr-high-confidence-2026-05-20|Q111884768|way/279441553,Q111884768,way/279441553,Kaoba Hotel,recTvmHTxCZ5GikmT,high,90,name=1.00; geo=15m,yes
