sourceRecordId,rawHotelName,rawCity,resolvedCity,rawWebsite,resolvedWebsite,qualityScore,route,reason,matchedBrand,censusRecommendedAction,wikidataQid,wikidataCity,wikidataWebsite,wikidataMatchConfidence,wikidataMatchScore,plan_tier,plan_next
way/214222991,Cabaña Nuevo Mundo,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/221554173,Hotel Salida del Sol,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/225437792,Grand Hotel,,,,,65,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/228619815,Hotel Tropicana,,,,,60,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/228692072,Hotel Aloha Sol,Santiago,Santiago,,,75,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,,,,,,reconcile_legacy_census,link_not_insert
way/228747277,Hotel Villa España,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/232029893,Cabañas Miramar,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/233060472,Sivory Punta Cana,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/233446403,Hodelpa Gran Almirante,,,,,70,route_known_chain_not_active,known_chain_name,Hodelpa,needs_research,Q111414822,,,high,90,excluded_not_independent,route_to_branded_or_steward
way/233515118,Hotel Platino,Santiago,Santiago,,,75,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111884803,,,medium,60,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
way/236000172,Luxury Bahia Principe Samana,,,,,55,route_known_chain_not_active,known_chain_name,Bahía Príncipe,needs_research,,,,,,excluded_not_independent,route_to_branded_or_steward
way/245917690,Cabañas Monte Lola,,,,,65,steward_possible_branded,osm_brand_tag_not_in_active_dictionary,Cesar Ureña,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
way/248236165,Cabañas La Paz,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/249685175,Villa Pajon Ecolodge,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/251860535,Quality Inn,,,,,65,route_branded_active_setup,osm_brand_tag,Quality Inn,likely_new_candidate,Q111884766,,,low,45,excluded_not_independent,route_to_branded_or_steward
way/252828092,Vista Sol Punta Cana,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q111414815,,,low,32,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/252975393,Green Coast,Bávaro,Bávaro,,,85,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,needs_research,manual_or_secondary_source
way/252975412,nh Hotels,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111111828,,,low,32,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/253121969,El Eden,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020354,,,low,45,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/253123206,Catalonia Royal La Romana,,,https://www.cataloniahotels.com/en/hotel/catalonia-royal-la-romana-adults-only,https://www.cataloniahotels.com/en/hotel/catalonia-royal-la-romana-adults-only,80,route_known_chain_not_active,known_chain_domain,Catalonia,likely_existing,,,,,,excluded_not_independent,route_to_branded_or_steward
way/253123207,Cadaques Caribe,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/253125050,Hilton La Romana,,,,,65,route_branded_active_setup,osm_brand_tag,Hilton Hotels & Resorts,possible_duplicate_review,Q111414777,,,high,75,excluded_not_independent,route_to_branded_or_steward
way/255788067,Hard Rock Hotel,,,,,65,route_known_chain_not_active,known_chain_name,Hard Rock Hotels,likely_existing,,,,,,excluded_not_independent,route_to_branded_or_steward
way/255806141,Barceló Dominican Beach,,,http://www.barcelodominicanbeach.com/,http://www.barcelodominicanbeach.com/,70,route_known_chain_not_active,known_chain_name,Barceló,likely_new_candidate,,,,,,excluded_not_independent,route_to_branded_or_steward
way/272974124,Melia Santo Domingo Hotel,Santo Domingo,Santo Domingo,,,85,route_known_chain_not_active,known_chain_name,Meliá,needs_research,,,,,,excluded_not_independent,route_to_branded_or_steward
way/273377518,Bahia Blanca,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/279441521,Albatros Cabarete Apartahotel,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
way/279441553,Kaoba Hotel,Cabarete,Cabarete,,,75,independent_unaffiliated_candidate,no_active_brand_signal,,likely_existing,Q139380449,Cabarete,,none,25,reconcile_legacy_census,link_not_insert
way/284214289,Piergiorgio Palace Hotel,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884773,,,high,90,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
way/307232015,The Hummingbird,,,http://www.hummingbird-cabarete.com/,http://www.hummingbird-cabarete.com/,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
